year;feature;n;n_missing;pct_missing;min;max;median;p1;p99
2019;QT_ESCOLAS_ANO;848;0;0;1;1;1;1;1
2019;IN_TRANSFERIDO;848;0;0;0;1;0;0;1
2019;IN_CONCLUINTE_FINAL;848;0;0;0;1;0;0;0
2019;N_MATRICULAS_REG;848;0;0;1;1;1;1;1
2019;IN_TROCA_ESCOLA;848;0;0;0;0;0;0;0
2019;evadiu;848;1;0.118;0;1;0;0;1
2019;defasagem_idade_serie;848;374;44.104;-11;43;2;-10;26
2019;flag_defasado;848;374;44.104;0;1;1;0;1
2019;n_reprovacoes_prev;848;0;0;0;2;0;0;1
2019;abandono_previo;848;0;0;0;1;0;0;1
2019;anos_observados;848;0;0;0;2;2;0;2
2019;reprovou_ano_ant;848;75;8.844;0;1;0;0;1
2019;tem_historico;848;0;0;0;1;1;0;1
2019;mudou_municipio;848;515;60.731;1;1;1;1;1
2019;TP_DEPENDENCIA;848;0;0;2;4;3;2;4
2019;TP_LOCALIZACAO;848;0;0;1;2;1;1;2
2019;TP_CATEGORIA_ESCOLA_PRIVADA;848;665;78.42;1;4;1;1;4
2019;IN_AGUA_POTAVEL;848;314;37.028;0;1;1;0;1
2019;IN_AGUA_REDE_PUBLICA;848;280;33.019;0;1;1;0;1
2019;IN_ENERGIA_REDE_PUBLICA;848;315;37.146;1;1;1;1;1
2019;IN_ESGOTO_REDE_PUBLICA;848;337;39.741;0;1;0;0;1
2019;IN_BANHEIRO;848;256;30.189;1;1;1;1;1
2019;IN_BANHEIRO_PNE;848;258;30.425;0;1;0;0;1
2019;IN_BIBLIOTECA_SALA_LEITURA;848;241;28.42;0;1;0;0;1
2019;IN_LABORATORIO_CIENCIAS;848;462;54.481;0;1;0;0;1
2019;IN_LABORATORIO_INFORMATICA;848;227;26.769;0;1;0;0;1
2019;IN_QUADRA_ESPORTES;848;345;40.684;0;1;0;0;1
2019;IN_COMPUTADOR;848;348;41.038;0;1;1;0;1
2019;IN_EQUIP_MULTIMIDIA;848;325;38.325;0;1;1;0;1
2019;IN_DESKTOP_ALUNO;848;317;37.382;0;1;0;0;1
2019;IN_INTERNET;848;205;24.175;0;1;1;0;1
2019;IN_BANDA_LARGA;848;355;41.863;0;1;1;0;1
2019;IN_INTERNET_ALUNOS;848;335;39.505;0;1;0;0;1
2019;IN_ACESSO_INTERNET_COMPUTADOR;848;305;35.967;0;1;0;0;1
2019;IN_ALIMENTACAO;848;380;44.811;0;1;1;0;1
2019;QT_PROF_COORDENADOR;848;357;42.099;0;4;1;0;4
2019;QT_PROF_FONAUDIOLOGO;848;264;31.132;0;1;0;0;1
2019;QT_PROF_NUTRICIONISTA;848;338;39.858;0;1;0;0;1
2019;QT_PROF_PSICOLOGO;848;211;24.882;0;3;0;0;3
2019;QT_PROF_PEDAGOGIA;848;343;40.448;0;7;1;0;7
2019;indice_infra;848;0;0;0.307692307692308;0.818181818181818;0.615384615384615;0.307692307692308;0.818181818181818
2019;tamanho_escola;848;0;0;20;43;34;20;43
2019;apoio_por_aluno;848;0;0;0;0.235294117647059;0.0285714285714286;0;0.235294117647059
2019;TX_HR_INICIAL;848;0;0;6;19;8;7;19
2019;tamanho_turma;848;0;0;0.424525998532772;46.7686638287269;20.0297241928056;0.884606726467609;46.4760256982409
2019;turno;848;0;0;;;;;
2020;ID_TURMA;880;0;0;;;;;
2020;CO_ENTIDADE;880;0;0;;;;;
2020;CO_PESSOA_FISICA;880;0;0;;;;;
2020;ID_MATRICULA;880;0;0;;;;;
2020;NU_ANO;880;0;0;2020;2020;2020;2020;2020
2020;NU_IDADE_REFERENCIA;880;0;0;4;80;13;4;36.4200000000001
2020;TP_SEXO;880;0;0;1;2;1;1;2
2020;TP_COR_RACA;880;0;0;0;5;1;0;4
2020;TP_NACIONALIDADE;880;0;0;1;3;1;1;1
2020;CO_UF_NASC;880;880;100;;;;;
2020;CO_MUNICIPIO_NASC;880;4;0.455;;;;;
2020;CO_PAIS_RESIDENCIA;880;0;0;;;;;
2020;CO_UF_END;880;303;34.432;;;;;
2020;CO_MUNICIPIO_END;880;284;32.273;;;;;
2020;TP_ZONA_RESIDENCIAL;880;0;0;1;2;1;1;2
2020;IN_NECESSIDADE_ESPECIAL;880;0;0;0;1;0;0;1
2020;IN_TRANSPORTE_PUBLICO;880;6;0.682;0;1;0;0;1
2020;IN_TRANSP_BICICLETA;880;737;83.75;0;0;0;0;0
2020;IN_TRANSP_MICRO_ONIBUS;880;735;83.523;0;1;0;0;1
2020;IN_TRANSP_ONIBUS;880;718;81.591;0;1;1;0;1
2020;IN_TRANSP_TR_ANIMAL;880;736;83.636;0;0;0;0;0
2020;IN_TRANSP_VANS_KOMBI;880;717;81.477;0;1;0;0;1
2020;IN_TRANSP_OUTRO_VEICULO;880;735;83.523;0;1;0;0;1
2020;IN_TRANSP_EMBAR_ATE5;880;711;80.795;0;1;0;0;0
2020;IN_TRANSP_EMBAR_5A15;880;735;83.523;0;1;0;0;1
2020;IN_TRANSP_EMBAR_15A35;880;734;83.409;0;1;0;0;0.550000000000011
2020;IN_TRANSP_EMBAR_35;880;723;82.159;0;0;0;0;0
2020;IN_ESPECIAL_EXCLUSIVA;880;36;4.091;0;1;0;0;0
2020;IN_REGULAR;880;0;0;1;1;1;1;1
2020;IN_EJA;880;37;4.205;0;1;0;0;1
2020;IN_PROFISSIONALIZANTE;880;28;3.182;0;1;0;0;1
2020;TP_ETAPA_ENSINO;880;107;12.159;1;71;17;1;69
2020;NU_DIAS_ATIVIDADE;880;0;0;1;6;5;1;6
2020;QT_ESCOLAS_ANO;880;0;0;1;1;1;1;1
2020;IN_TRANSFERIDO;880;0;0;0;1;0;0;0.210000000000036
2020;IN_CONCLUINTE_FINAL;880;0;0;0;1;0;0;0
2020;N_MATRICULAS_REG;880;0;0;1;1;1;1;1
2020;IN_TROCA_ESCOLA;880;0;0;0;0;0;0;0
2020;evadiu;880;6;0.682;0;1;0;0;1
2020;defasagem_idade_serie;880;386;43.864;-13;45;2;-11.07;24.14
2020;flag_defasado;880;386;43.864;0;1;1;0;1
2020;n_reprovacoes_prev;880;0;0;0;2;0;0;1
2020;abandono_previo;880;0;0;0;1;0;0;1
2020;anos_observados;880;0;0;0;3;3;0;3
2020;reprovou_ano_ant;880;75;8.523;0;1;0;0;1
2020;tem_historico;880;0;0;0;1;1;0;1
2020;mudou_municipio;880;514;58.409;1;1;1;1;1
2020;TP_DEPENDENCIA;880;0;0;1;4;3;1;4
2020;TP_LOCALIZACAO;880;0;0;1;2;1;1;2
2020;TP_CATEGORIA_ESCOLA_PRIVADA;880;709;80.568;1;1;1;1;1
2020;IN_AGUA_POTAVEL;880;253;28.75;0;1;1;0;1
2020;IN_AGUA_REDE_PUBLICA;880;254;28.864;0;1;1;0;1
2020;IN_ENERGIA_REDE_PUBLICA;880;234;26.591;1;1;1;1;1
2020;IN_ESGOTO_REDE_PUBLICA;880;275;31.25;0;1;1;0;1
2020;IN_BANHEIRO;880;228;25.909;0;1;1;0;1
2020;IN_BANHEIRO_PNE;880;282;32.045;0;1;0;0;1
2020;IN_BIBLIOTECA_SALA_LEITURA;880;257;29.205;0;1;1;0;1
2020;IN_LABORATORIO_CIENCIAS;880;373;42.386;0;1;0;0;1
2020;IN_LABORATORIO_INFORMATICA;880;296;33.636;0;1;0;0;1
2020;IN_QUADRA_ESPORTES;880;328;37.273;0;1;0;0;1
2020;IN_COMPUTADOR;880;467;53.068;0;1;1;0;1
2020;IN_EQUIP_MULTIMIDIA;880;348;39.545;0;1;1;0;1
2020;IN_DESKTOP_ALUNO;880;375;42.614;0;1;0;0;1
2020;IN_INTERNET;880;302;34.318;0;1;1;0;1
2020;IN_BANDA_LARGA;880;662;75.227;1;1;1;1;1
2020;IN_INTERNET_ALUNOS;880;295;33.523;0;1;0;0;1
2020;IN_ACESSO_INTERNET_COMPUTADOR;880;186;21.136;0;1;0;0;1
2020;IN_ALIMENTACAO;880;290;32.955;0;1;1;0;1
2020;QT_PROF_COORDENADOR;880;326;37.045;0;3;0;0;3
2020;QT_PROF_FONAUDIOLOGO;880;457;51.932;0;0;0;0;0
2020;QT_PROF_NUTRICIONISTA;880;304;34.545;0;1;0;0;1
2020;QT_PROF_PSICOLOGO;880;497;56.477;0;4;0;0;4
2020;QT_PROF_PEDAGOGIA;880;422;47.955;0;13;1;0;13
2020;indice_infra;880;0;0;0.3;1;0.571428571428571;0.3;1
2020;tamanho_escola;880;0;0;21;43;32;21;43
2020;apoio_por_aluno;880;0;0;0;0.302325581395349;0.0263157894736842;0;0.302325581395349
2020;TX_HR_INICIAL;880;0;0;6;19;12;7;19
2020;tamanho_turma;880;0;0;0.386855346150696;46.7085127793253;20.25952849444;1.15304943174124;44.7975552604767
2020;turno;880;0;0;;;;;
2021;ID_TURMA;867;0;0;;;;;
2021;CO_ENTIDADE;867;0;0;;;;;
2021;CO_PESSOA_FISICA;867;0;0;;;;;
2021;ID_MATRICULA;867;0;0;;;;;
2021;NU_ANO;867;0;0;2021;2021;2021;2021;2021
2021;NU_IDADE_REFERENCIA;867;0;0;4;59;13;4;34
2021;TP_SEXO;867;0;0;1;2;1;1;2
2021;TP_COR_RACA;867;0;0;0;5;1;0;3
2021;TP_NACIONALIDADE;867;0;0;1;3;1;1;1
2021;CO_UF_NASC;867;867;100;;;;;
2021;CO_MUNICIPIO_NASC;867;5;0.577;;;;;
2021;CO_PAIS_RESIDENCIA;867;0;0;;;;;
2021;CO_UF_END;867;291;33.564;;;;;
2021;CO_MUNICIPIO_END;867;314;36.217;;;;;
2021;TP_ZONA_RESIDENCIAL;867;0;0;1;2;1;1;2
2021;IN_NECESSIDADE_ESPECIAL;867;0;0;0;1;0;0;1
2021;IN_TRANSPORTE_PUBLICO;867;8;0.923;0;1;0;0;1
2021;IN_TRANSP_BICICLETA;867;713;82.238;0;0;0;0;0
2021;IN_TRANSP_MICRO_ONIBUS;867;711;82.007;0;1;0;0;1
2021;IN_TRANSP_ONIBUS;867;707;81.546;0;1;1;0;1
2021;IN_TRANSP_TR_ANIMAL;867;712;82.122;0;0;0;0;0
2021;IN_TRANSP_VANS_KOMBI;867;726;83.737;0;1;0;0;1
2021;IN_TRANSP_OUTRO_VEICULO;867;740;85.352;0;1;0;0;1
2021;IN_TRANSP_EMBAR_ATE5;867;706;81.43;0;0;0;0;0
2021;IN_TRANSP_EMBAR_5A15;867;711;82.007;0;1;0;0;1
2021;IN_TRANSP_EMBAR_15A35;867;713;82.238;0;1;0;0;1
2021;IN_TRANSP_EMBAR_35;867;710;81.892;0;1;0;0;0.439999999999998
2021;IN_ESPECIAL_EXCLUSIVA;867;27;3.114;0;1;0;0;0
2021;IN_REGULAR;867;0;0;1;1;1;1;1
2021;IN_EJA;867;42;4.844;0;1;0;0;1
2021;IN_PROFISSIONALIZANTE;867;35;4.037;0;1;0;0;1
2021;TP_ETAPA_ENSINO;867;75;8.651;1;74;17;1;72
2021;NU_DIAS_ATIVIDADE;867;1;0.115;1;6;5;1;6
2021;QT_ESCOLAS_ANO;867;0;0;1;1;1;1;1
2021;IN_TRANSFERIDO;867;0;0;0;1;0;0;1
2021;IN_CONCLUINTE_FINAL;867;0;0;0;1;0;0;0
2021;N_MATRICULAS_REG;867;0;0;1;1;1;1;1
2021;IN_TROCA_ESCOLA;867;0;0;0;0;0;0;0
2021;evadiu;867;2;0.231;0;1;0;0;1
2021;defasagem_idade_serie;867;412;47.52;-12;51;2;-9.92;20.46
2021;flag_defasado;867;412;47.52;0;1;1;0;1
2021;n_reprovacoes_prev;867;0;0;0;2;0;0;1
2021;abandono_previo;867;0;0;0;1;0;0;1
2021;anos_observados;867;0;0;0;4;4;0;4
2021;reprovou_ano_ant;867;81;9.343;0;1;0;0;1
2021;tem_historico;867;0;0;0;1;1;0;1
2021;mudou_municipio;867;529;61.015;1;1;1;1;1
2021;TP_DEPENDENCIA;867;0;0;1;4;3;1;4
2021;TP_LOCALIZACAO;867;0;0;1;2;1;1;2
2021;TP_CATEGORIA_ESCOLA_PRIVADA;867;713;82.238;1;1;1;1;1
2021;IN_AGUA_POTAVEL;867;249;28.72;1;1;1;1;1
2021;IN_AGUA_REDE_PUBLICA;867;324;37.37;0;1;1;0;1
2021;IN_ENERGIA_REDE_PUBLICA;867;269;31.027;1;1;1;1;1
2021;IN_ESGOTO_REDE_PUBLICA;867;240;27.682;0;1;1;0;1
2021;IN_BANHEIRO;867;464;53.518;0;1;1;0;1
2021;IN_BANHEIRO_PNE;867;327;37.716;0;1;1;0;1
2021;IN_BIBLIOTECA_SALA_LEITURA;867;240;27.682;0;1;0;0;1
2021;IN_LABORATORIO_CIENCIAS;867;332;38.293;0;1;0;0;1
2021;IN_LABORATORIO_INFORMATICA;867;235;27.105;0;1;0;0;1
2021;IN_QUADRA_ESPORTES;867;354;40.83;0;1;0;0;1
2021;IN_COMPUTADOR;867;369;42.561;0;1;1;0;1
2021;IN_EQUIP_MULTIMIDIA;867;228;26.298;0;1;1;0;1
2021;IN_DESKTOP_ALUNO;867;380;43.829;0;1;0;0;1
2021;IN_INTERNET;867;254;29.296;0;1;1;0;1
2021;IN_BANDA_LARGA;867;346;39.908;0;1;1;0;1
2021;IN_INTERNET_ALUNOS;867;405;46.713;0;1;0;0;1
2021;IN_ACESSO_INTERNET_COMPUTADOR;867;264;30.45;0;1;0;0;1
2021;IN_ALIMENTACAO;867;308;35.525;0;1;1;0;1
2021;QT_PROF_COORDENADOR;867;404;46.597;0;2;0;0;2
2021;QT_PROF_FONAUDIOLOGO;867;188;21.684;0;0;0;0;0
2021;QT_PROF_NUTRICIONISTA;867;349;40.254;0;1;0;0;1
2021;QT_PROF_PSICOLOGO;867;377;43.483;0;0;0;0;0
2021;QT_PROF_PEDAGOGIA;867;293;33.795;0;23;1;0;23
2021;indice_infra;867;0;0;0.363636363636364;0.833333333333333;0.6;0.363636363636364;0.833333333333333
2021;tamanho_escola;867;0;0;24;42;33;24;42
2021;apoio_por_aluno;867;0;0;0;0.676470588235294;0.0238095238095238;0;0.676470588235294
2021;TX_HR_INICIAL;867;6;0.692;6;19;9;6.6;19
2021;tamanho_turma;867;0;0;0.368035552091897;46.4683497981168;20.1193611145718;1.37892873957753;42.4861168489792
2021;turno;867;6;0.692;;;;;
2022;ID_TURMA;839;0;0;;;;;
2022;CO_ENTIDADE;839;0;0;;;;;
2022;CO_PESSOA_FISICA;839;0;0;;;;;
2022;ID_MATRICULA;839;0;0;;;;;
2022;NU_ANO;839;0;0;2022;2022;2022;2022;2022
2022;NU_IDADE_REFERENCIA;839;0;0;4;48;14;4;35
2022;TP_SEXO;839;0;0;1;2;1;1;2
2022;TP_COR_RACA;839;0;0;0;5;1;0;3
2022;TP_NACIONALIDADE;839;0;0;1;3;1;1;1
2022;CO_UF_NASC;839;839;100;;;;;
2022;CO_MUNICIPIO_NASC;839;6;0.715;;;;;
2022;CO_PAIS_RESIDENCIA;839;0;0;;;;;
2022;CO_UF_END;839;292;34.803;;;;;
2022;CO_MUNICIPIO_END;839;281;33.492;;;;;
2022;TP_ZONA_RESIDENCIAL;839;0;0;1;2;1;1;2
2022;IN_NECESSIDADE_ESPECIAL;839;0;0;0;1;0;0;1
2022;IN_TRANSPORTE_PUBLICO;839;13;1.549;0;1;0;0;1
2022;IN_TRANSP_BICICLETA;839;706;84.148;0;0;0;0;0
2022;IN_TRANSP_MICRO_ONIBUS;839;681;81.168;0;1;0;0;1
2022;IN_TRANSP_ONIBUS;839;695;82.837;0;1;1;0;1
2022;IN_TRANSP_TR_ANIMAL;839;682;81.287;0;0;0;0;0
2022;IN_TRANSP_VANS_KOMBI;839;676;80.572;0;1;0;0;1
2022;IN_TRANSP_OUTRO_VEICULO;839;704;83.909;0;1;0;0;1
2022;IN_TRANSP_EMBAR_ATE5;839;690;82.241;0;0;0;0;0
2022;IN_TRANSP_EMBAR_5A15;839;715;85.221;0;1;0;0;0.769999999999996
2022;IN_TRANSP_EMBAR_15A35;839;708;84.386;0;1;0;0;0
2022;IN_TRANSP_EMBAR_35;839;680;81.049;0;0;0;0;0
2022;IN_ESPECIAL_EXCLUSIVA;839;45;5.364;0;1;0;0;0
2022;IN_REGULAR;839;0;0;1;1;1;1;1
2022;IN_EJA;839;55;6.555;0;1;0;0;1
2022;IN_PROFISSIONALIZANTE;839;51;6.079;0;1;0;0;1
2022;TP_ETAPA_ENSINO;839;110;13.111;1;71;16;1;71
2022;NU_DIAS_ATIVIDADE;839;0;0;1;6;5;1;6
2022;QT_ESCOLAS_ANO;839;0;0;1;1;1;1;1
2022;IN_TRANSFERIDO;839;0;0;0;1;0;0;1
2022;IN_CONCLUINTE_FINAL;839;0;0;0;1;0;0;0
2022;N_MATRICULAS_REG;839;0;0;1;1;1;1;1
2022;IN_TROCA_ESCOLA;839;0;0;0;0;0;0;0
2022;evadiu;839;1;0.119;0;1;0;0;1
2022;defasagem_idade_serie;839;414;49.344;-13;37;4;-8.76;29
2022;flag_defasado;839;414;49.344;0;1;1;0;1
2022;n_reprovacoes_prev;839;0;0;0;2;0;0;1
2022;abandono_previo;839;0;0;0;1;0;0;1
2022;anos_observados;839;0;0;0;5;5;0;5
2022;reprovou_ano_ant;839;61;7.271;0;1;0;0;1
2022;tem_historico;839;0;0;0;1;1;0;1
2022;mudou_municipio;839;509;60.667;1;1;1;1;1
2022;TP_DEPENDENCIA;839;0;0;1;4;3;1;4
2022;TP_LOCALIZACAO;839;0;0;1;2;1;1;2
2022;TP_CATEGORIA_ESCOLA_PRIVADA;839;815;97.139;1;1;1;1;1
2022;IN_AGUA_POTAVEL;839;307;36.591;1;1;1;1;1
2022;IN_AGUA_REDE_PUBLICA;839;313;37.306;0;1;1;0;1
2022;IN_ENERGIA_REDE_PUBLICA;839;295;35.161;1;1;1;1;1
2022;IN_ESGOTO_REDE_PUBLICA;839;138;16.448;0;1;0;0;1
2022;IN_BANHEIRO;839;408;48.629;0;1;1;0;1
2022;IN_BANHEIRO_PNE;839;472;56.257;0;1;0;0;1
2022;IN_BIBLIOTECA_SALA_LEITURA;839;189;22.527;0;1;1;0;1
2022;IN_LABORATORIO_CIENCIAS;839;322;38.379;0;1;0;0;1
2022;IN_LABORATORIO_INFORMATICA;839;279;33.254;0;1;0;0;1
2022;IN_QUADRA_ESPORTES;839;310;36.949;0;1;0;0;1
2022;IN_COMPUTADOR;839;286;34.088;0;1;1;0;1
2022;IN_EQUIP_MULTIMIDIA;839;344;41.001;0;1;1;0;1
2022;IN_DESKTOP_ALUNO;839;408;48.629;0;1;0;0;1
2022;IN_INTERNET;839;334;39.809;0;1;1;0;1
2022;IN_BANDA_LARGA;839;416;49.583;0;1;1;0;1
2022;IN_INTERNET_ALUNOS;839;504;60.072;0;1;1;0;1
2022;IN_ACESSO_INTERNET_COMPUTADOR;839;333;39.69;0;9;0;0;9
2022;IN_ALIMENTACAO;839;329;39.213;0;1;1;0;1
2022;QT_PROF_COORDENADOR;839;331;39.452;0;26;1;0;26
2022;QT_PROF_FONAUDIOLOGO;839;412;49.106;0;1;0;0;1
2022;QT_PROF_NUTRICIONISTA;839;233;27.771;0;1;0;0;1
2022;QT_PROF_PSICOLOGO;839;403;48.033;0;1;0;0;1
2022;QT_PROF_PEDAGOGIA;839;337;40.167;0;7;2;0;7
2022;indice_infra;839;0;0;0.333333333333333;1.36363636363636;0.666666666666667;0.333333333333333;1.36363636363636
2022;tamanho_escola;839;0;0;22;43;33;22;43
2022;apoio_por_aluno;839;0;0;0;0.838709677419355;0.04;0;0.838709677419355
2022;TX_HR_INICIAL;839;6;0.715;6;19;8;6;19
2022;tamanho_turma;839;0;0;0.00824582297354937;45.8029232751578;19.798377326224;0.124655175022781;44.6288031777367
2022;turno;839;6;0.715;;;;;
2023;ID_TURMA;830;0;0;;;;;
2023;CO_ENTIDADE;830;0;0;;;;;
2023;CO_PESSOA_FISICA;830;0;0;;;;;
2023;ID_MATRICULA;830;0;0;;;;;
2023;NU_ANO;830;0;0;2023;2023;2023;2023;2023
2023;NU_IDADE_REFERENCIA;830;0;0;4;57;14;4;35.71
2023;TP_SEXO;830;0;0;1;2;1;1;2
2023;TP_COR_RACA;830;0;0;0;5;1;0;4
2023;TP_NACIONALIDADE;830;0;0;1;3;1;1;1
2023;CO_UF_NASC;830;830;100;;;;;
2023;CO_MUNICIPIO_NASC;830;1;0.12;;;;;
2023;CO_PAIS_RESIDENCIA;830;0;0;;;;;
2023;CO_UF_END;830;269;32.41;;;;;
2023;CO_MUNICIPIO_END;830;276;33.253;;;;;
2023;TP_ZONA_RESIDENCIAL;830;0;0;1;2;1;1;2
2023;IN_NECESSIDADE_ESPECIAL;830;0;0;0;1;0;0;1
2023;IN_TRANSPORTE_PUBLICO;830;22;2.651;0;1;0;0;1
2023;IN_TRANSP_BICICLETA;830;671;80.843;0;0;0;0;0
2023;IN_TRANSP_MICRO_ONIBUS;830;676;81.446;0;1;0;0;1
2023;IN_TRANSP_ONIBUS;830;680;81.928;0;1;1;0;1
2023;IN_TRANSP_TR_ANIMAL;830;687;82.771;0;0;0;0;0
2023;IN_TRANSP_VANS_KOMBI;830;692;83.373;0;1;0;0;1
2023;IN_TRANSP_OUTRO_VEICULO;830;688;82.892;0;1;0;0;1
2023;IN_TRANSP_EMBAR_ATE5;830;688;82.892;0;0;0;0;0
2023;IN_TRANSP_EMBAR_5A15;830;680;81.928;0;1;0;0;1
2023;IN_TRANSP_EMBAR_15A35;830;682;82.169;0;1;0;0;0
2023;IN_TRANSP_EMBAR_35;830;688;82.892;0;1;0;0;0.590000000000003
2023;IN_ESPECIAL_EXCLUSIVA;830;57;6.867;0;1;0;0;0
2023;IN_REGULAR;830;0;0;1;1;1;1;1
2023;IN_EJA;830;58;6.988;0;1;0;0;1
2023;IN_PROFISSIONALIZANTE;830;54;6.506;0;1;0;0;1
2023;TP_ETAPA_ENSINO;830;123;14.819;1;71;16;1;71
2023;NU_DIAS_ATIVIDADE;830;11;1.325;1;6;5;1;6
2023;QT_ESCOLAS_ANO;830;0;0;1;1;1;1;1
2023;IN_TRANSFERIDO;830;0;0;0;1;0;0;1
2023;IN_CONCLUINTE_FINAL;830;0;0;0;1;0;0;0
2023;N_MATRICULAS_REG;830;0;0;1;1;1;1;1
2023;IN_TROCA_ESCOLA;830;0;0;0;0;0;0;0
2023;evadiu;830;6;0.723;0;1;0;0;1
2023;defasagem_idade_serie;830;413;49.759;-13;43;4;-8.84;29.68
2023;flag_defasado;830;413;49.759;0;1;1;0;1
2023;n_reprovacoes_prev;830;0;0;0;2;0;0;2
2023;abandono_previo;830;0;0;0;1;0;0;1
2023;anos_observados;830;0;0;0;6;6;0;6
2023;reprovou_ano_ant;830;68;8.193;0;1;0;0;1
2023;tem_historico;830;0;0;0;1;1;0;1
2023;mudou_municipio;830;504;60.723;1;1;1;1;1
2023;TP_DEPENDENCIA;830;0;0;2;4;3;2;4
2023;TP_LOCALIZACAO;830;0;0;1;2;2;1;2
2023;TP_CATEGORIA_ESCOLA_PRIVADA;830;675;81.325;1;1;1;1;1
2023;IN_AGUA_POTAVEL;830;252;30.361;0;1;1;0;1
2023;IN_AGUA_REDE_PUBLICA;830;236;28.434;0;1;1;0;1
2023;IN_ENERGIA_REDE_PUBLICA;830;285;34.337;1;1;1;1;1
2023;IN_ESGOTO_REDE_PUBLICA;830;359;43.253;0;1;1;0;1
2023;IN_BANHEIRO;830;389;46.867;1;1;1;1;1
2023;IN_BANHEIRO_PNE;830;329;39.639;0;1;0;0;1
2023;IN_BIBLIOTECA_SALA_LEITURA;830;339;40.843;0;1;0;0;1
2023;IN_LABORATORIO_CIENCIAS;830;246;29.639;0;1;0;0;1
2023;IN_LABORATORIO_INFORMATICA;830;443;53.373;0;1;1;0;1
2023;IN_QUADRA_ESPORTES;830;332;40;0;1;1;0;1
2023;IN_COMPUTADOR;830;345;41.566;0;1;1;0;1
2023;IN_EQUIP_MULTIMIDIA;830;380;45.783;0;1;0;0;1
2023;IN_DESKTOP_ALUNO;830;405;48.795;0;1;1;0;1
2023;IN_INTERNET;830;365;43.976;0;1;1;0;1
2023;IN_BANDA_LARGA;830;329;39.639;0;1;1;0;1
2023;IN_INTERNET_ALUNOS;830;219;26.386;0;1;0;0;1
2023;IN_ACESSO_INTERNET_COMPUTADOR;830;395;47.59;0;9;0;0;9
2023;IN_ALIMENTACAO;830;362;43.614;0;1;1;0;1
2023;QT_PROF_COORDENADOR;830;309;37.229;0;6;0;0;6
2023;QT_PROF_FONAUDIOLOGO;830;279;33.614;0;0;0;0;0
2023;QT_PROF_NUTRICIONISTA;830;408;49.157;0;1;0;0;1
2023;QT_PROF_PSICOLOGO;830;257;30.964;0;1;0;0;1
2023;QT_PROF_PEDAGOGIA;830;274;33.012;0;88888;1;0;88888
2023;indice_infra;830;0;0;0.25;1.58333333333333;0.6875;0.25;1.58333333333333
2023;tamanho_escola;830;0;0;21;40;35;21;40
2023;apoio_por_aluno;830;0;0;0;2539.68571428571;0.0385185185185185;0;2539.68571428571
2023;TX_HR_INICIAL;830;2;0.241;6;19;8;6;19
2023;tamanho_turma;830;0;0;0.0763643346726894;45.7685132152401;20.0223642413039;0.141650750488043;44.5306905838661
2023;turno;830;2;0.241;;;;;
2024;ID_TURMA;830;0;0;;;;;
2024;CO_ENTIDADE;830;0;0;;;;;
2024;CO_PESSOA_FISICA;830;0;0;;;;;
2024;ID_MATRICULA;830;0;0;;;;;
