table;year;column;n;n_missing;pct_missing;min;max;mean;median;p1;p99
BAS_ESCOLA;2019;IN_BIBLIOTECA_SALA_LEITURA;31;17;54.839;0;1;0.2857;0;0;1
BAS_ESCOLA;2019;IN_LABORATORIO_CIENCIAS;31;10;32.258;0;1;0.0952;0;0;1
BAS_ESCOLA;2019;IN_LABORATORIO_INFORMATICA;31;13;41.935;0;1;0.2778;0;0;1
BAS_ESCOLA;2019;IN_QUADRA_ESPORTES;31;12;38.71;0;1;0.4211;0;0;1
BAS_ESCOLA;2019;QT_SALAS_UTILIZADAS;31;12;38.71;1;26;8.3158;7;1.36;24.2
BAS_ESCOLA;2019;IN_COMPUTADOR;31;12;38.71;0;1;0.8421;1;0;1
BAS_ESCOLA;2019;IN_EQUIP_MULTIMIDIA;31;13;41.935;0;1;0.5556;1;0;1
BAS_ESCOLA;2019;QT_EQUIP_MULTIMIDIA;31;11;35.484;0;4;0.8;1;0;3.62
BAS_ESCOLA;2019;IN_DESKTOP_ALUNO;31;11;35.484;0;1;0.5;0.5;0;1
BAS_ESCOLA;2019;QT_DESKTOP_ALUNO;31;12;38.71;0;27.9965862012468;6.6979;1.82025297021028;0;25.9621362133603
BAS_ESCOLA;2019;IN_COMP_PORTATIL_ALUNO;31;10;32.258;0;1;0.1429;0;0;1
BAS_ESCOLA;2019;QT_COMP_PORTATIL_ALUNO;31;8;25.806;0;1.98061817674898;0.6105;0;0;1.97918782599736
BAS_ESCOLA;2019;IN_TABLET_ALUNO;31;7;22.581;0;1;0.0833;0;0;1
BAS_ESCOLA;2019;QT_TABLET_ALUNO;31;14;45.161;0;0.982956406660378;0.2529;0;0;0.981857197731733
BAS_ESCOLA;2019;IN_INTERNET;31;13;41.935;0;1;0.8889;1;0;1
BAS_ESCOLA;2019;IN_INTERNET_ALUNOS;31;13;41.935;0;1;0.2222;0;0;1
BAS_ESCOLA;2019;IN_ACESSO_INTERNET_COMPUTADOR;31;8;25.806;0;9;1;0;0;9
BAS_ESCOLA;2019;IN_BANDA_LARGA;31;14;45.161;0;1;0.8235;1;0;1
BAS_ESCOLA;2019;QT_PROF_COORDENADOR;31;13;41.935;0;6;0.6111;0;0;5.31999999999999
BAS_ESCOLA;2019;QT_PROF_FONAUDIOLOGO;31;14;45.161;0;1;0.1765;0;0;1
BAS_ESCOLA;2019;QT_PROF_NUTRICIONISTA;31;8;25.806;0;1;0.3043;0;0;1
BAS_ESCOLA;2019;QT_PROF_PSICOLOGO;31;8;25.806;0;2;0.1304;0;0;1.78
BAS_ESCOLA;2019;QT_PROF_PEDAGOGIA;31;13;41.935;0;3;1.0556;1;0;3
BAS_ESCOLA;2019;IN_ALIMENTACAO;31;13;41.935;0;1;0.7222;1;0;1
BAS_ESCOLA;2019;IN_ORGAO_ASS_PAIS;31;16;51.613;0;9;0.6667;0;0;7.88
BAS_ESCOLA;2019;IN_ORGAO_ASS_PAIS_MESTRES;31;13;41.935;0;1;0.2222;0;0;1
BAS_ESCOLA;2019;IN_ORGAO_CONSELHO_ESCOLAR;31;10;32.258;0;9;1.381;1;0;9
BAS_ESCOLA;2020;NU_ANO;31;0;0;2020;2020;2020;2020;2020;2020
BAS_ESCOLA;2020;CO_ENTIDADE;31;0;0;;;;;;
BAS_ESCOLA;2020;TP_SITUACAO_FUNCIONAMENTO;31;0;0;1;4;2.1613;1;1;4
BAS_ESCOLA;2020;TP_FALTANTE;31;7;22.581;0;0;0;0;0;0
BAS_ESCOLA;2020;CO_UF;31;0;0;;;;;;
BAS_ESCOLA;2020;CO_MUNICIPIO;31;0;0;;;;;;
BAS_ESCOLA;2020;TP_DEPENDENCIA;31;0;0;2;4;2.871;3;2;4
BAS_ESCOLA;2020;TP_LOCALIZACAO;31;0;0;1;2;1.4194;1;1;2
BAS_ESCOLA;2020;TP_LOCALIZACAO_DIFERENCIADA;31;12;38.71;0;0;0;0;0;0
BAS_ESCOLA;2020;TP_CATEGORIA_ESCOLA_PRIVADA;31;26;83.871;1;4;1.6;1;1;3.88
BAS_ESCOLA;2020;IN_LOCAL_FUNC_PREDIO_ESCOLAR;31;7;22.581;1;1;1;1;1;1
BAS_ESCOLA;2020;IN_LOCAL_FUNC_SOCIOEDUCATIVO;31;12;38.71;0;0;0;0;0;0
BAS_ESCOLA;2020;IN_LOCAL_FUNC_UNID_PRISIONAL;31;11;35.484;0;0;0;0;0;0
BAS_ESCOLA;2020;IN_LOCAL_FUNC_PRISIONAL_SOCIO;31;15;48.387;0;0;0;0;0;0
BAS_ESCOLA;2020;IN_LOCAL_FUNC_GALPAO;31;12;38.71;0;0;0;0;0;0
BAS_ESCOLA;2020;IN_LOCAL_FUNC_SALAS_OUTRA_ESC;31;15;48.387;0;0;0;0;0;0
BAS_ESCOLA;2020;IN_LOCAL_FUNC_OUTROS;31;15;48.387;0;0;0;0;0;0
BAS_ESCOLA;2020;IN_PREDIO_COMPARTILHADO;31;13;41.935;0;0;0;0;0;0
BAS_ESCOLA;2020;IN_AGUA_POTAVEL;31;10;32.258;0;1;0.9524;1;0.2;1
BAS_ESCOLA;2020;IN_AGUA_REDE_PUBLICA;31;13;41.935;0;1;0.7778;1;0;1
BAS_ESCOLA;2020;IN_AGUA_POCO_ARTESIANO;31;9;29.032;0;1;0.0909;0;0;1
BAS_ESCOLA;2020;IN_AGUA_CACIMBA;31;12;38.71;0;1;0.1053;0;0;1
BAS_ESCOLA;2020;IN_AGUA_FONTE_RIO;31;13;41.935;0;0;0;0;0;0
BAS_ESCOLA;2020;IN_AGUA_INEXISTENTE;31;5;16.129;0;1;0.0385;0;0;0.75
BAS_ESCOLA;2020;IN_ENERGIA_REDE_PUBLICA;31;11;35.484;0;1;0.95;1;0.19;1
BAS_ESCOLA;2020;IN_ENERGIA_GERADOR_FOSSIL;31;9;29.032;0;0;0;0;0;0
BAS_ESCOLA;2020;IN_ENERGIA_RENOVAVEL;31;11;35.484;0;0;0;0;0;0
BAS_ESCOLA;2020;IN_ENERGIA_INEXISTENTE;31;12;38.71;0;0;0;0;0;0
BAS_ESCOLA;2020;IN_ESGOTO_REDE_PUBLICA;31;15;48.387;0;1;0.8125;1;0;1
BAS_ESCOLA;2020;IN_ESGOTO_FOSSA_SEPTICA;31;5;16.129;0;1;0.1538;0;0;1
BAS_ESCOLA;2020;IN_ESGOTO_FOSSA_COMUM;31;13;41.935;0;1;0.1667;0;0;1
BAS_ESCOLA;2020;IN_ESGOTO_FOSSA;31;14;45.161;0;1;0.1176;0;0;1
BAS_ESCOLA;2020;IN_ESGOTO_INEXISTENTE;31;12;38.71;0;0;0;0;0;0
BAS_ESCOLA;2020;IN_LIXO_SERVICO_COLETA;31;13;41.935;0;1;0.7778;1;0;1
BAS_ESCOLA;2020;IN_LIXO_QUEIMA;31;13;41.935;0;1;0.0556;0;0;0.829999999999998
BAS_ESCOLA;2020;IN_LIXO_ENTERRA;31;15;48.387;0;0;0;0;0;0
BAS_ESCOLA;2020;IN_LIXO_DESTINO_FINAL_PUBLICO;31;15;48.387;0;0;0;0;0;0
BAS_ESCOLA;2020;IN_LIXO_DESCARTA_OUTRA_AREA;31;12;38.71;0;0;0;0;0;0
BAS_ESCOLA;2020;IN_TRATAMENTO_LIXO_SEPARACAO;31;10;32.258;0;1;0.4286;0;0;1
BAS_ESCOLA;2020;IN_TRATAMENTO_LIXO_REUTILIZA;31;13;41.935;0;1;0.0556;0;0;0.829999999999998
BAS_ESCOLA;2020;IN_TRATAMENTO_LIXO_RECICLAGEM;31;9;29.032;0;0;0;0;0;0
BAS_ESCOLA;2020;IN_TRATAMENTO_LIXO_INEXISTENTE;31;9;29.032;0;9;1;1;0;7.31999999999999
BAS_ESCOLA;2020;IN_BANHEIRO;31;10;32.258;0;1;0.8571;1;0;1
BAS_ESCOLA;2020;IN_BANHEIRO_PNE;31;9;29.032;0;1;0.4091;0;0;1
BAS_ESCOLA;2020;IN_BIBLIOTECA_SALA_LEITURA;31;17;54.839;0;1;0.3571;0;0;1
BAS_ESCOLA;2020;IN_LABORATORIO_CIENCIAS;31;13;41.935;0;1;0.1111;0;0;1
BAS_ESCOLA;2020;IN_LABORATORIO_INFORMATICA;31;11;35.484;0;1;0.35;0;0;1
BAS_ESCOLA;2020;IN_QUADRA_ESPORTES;31;12;38.71;0;1;0.3158;0;0;1
BAS_ESCOLA;2020;QT_SALAS_UTILIZADAS;31;7;22.581;1;25;6.9167;6;1;22.24
BAS_ESCOLA;2020;IN_COMPUTADOR;31;13;41.935;0;1;0.7778;1;0;1
BAS_ESCOLA;2020;IN_EQUIP_MULTIMIDIA;31;14;45.161;0;1;0.7647;1;0;1
BAS_ESCOLA;2020;QT_EQUIP_MULTIMIDIA;31;6;19.355;0;12;1.12;1;0;9.83999999999998
BAS_ESCOLA;2020;IN_DESKTOP_ALUNO;31;14;45.161;0;1;0.4118;0;0;1
BAS_ESCOLA;2020;QT_DESKTOP_ALUNO;31;13;41.935;0;34.1599992513657;8.276;2.01556478161365;0;34.1497115955223
BAS_ESCOLA;2020;IN_COMP_PORTATIL_ALUNO;31;7;22.581;0;1;0.2917;0;0;1
BAS_ESCOLA;2020;QT_COMP_PORTATIL_ALUNO;31;12;38.71;0;2.73208924219944;0.8551;0.753513558302075;0;2.68417731828522
BAS_ESCOLA;2020;IN_TABLET_ALUNO;31;14;45.161;0;1;0.0588;0;0;0.84
BAS_ESCOLA;2020;QT_TABLET_ALUNO;31;13;41.935;0;1.88685791380703;0.3575;0.11844879045384;0;1.73292560748755
BAS_ESCOLA;2020;IN_INTERNET;31;13;41.935;0;1;0.9444;1;0.17;1
BAS_ESCOLA;2020;IN_INTERNET_ALUNOS;31;5;16.129;0;1;0.3462;0;0;1
BAS_ESCOLA;2020;IN_ACESSO_INTERNET_COMPUTADOR;31;17;54.839;0;1;0.3571;0;0;1
BAS_ESCOLA;2020;IN_BANDA_LARGA;31;17;54.839;0;1;0.8571;1;0;1
BAS_ESCOLA;2020;QT_PROF_COORDENADOR;31;10;32.258;0;5;0.6667;0;0;4.8
BAS_ESCOLA;2020;QT_PROF_FONAUDIOLOGO;31;16;51.613;0;0;0;0;0;0
BAS_ESCOLA;2020;QT_PROF_NUTRICIONISTA;31;17;54.839;0;1;0.2857;0;0;1
BAS_ESCOLA;2020;QT_PROF_PSICOLOGO;31;9;29.032;0;3;0.1818;0;0;2.58
BAS_ESCOLA;2020;QT_PROF_PEDAGOGIA;31;14;45.161;0;6;1.7647;1;0;5.84
BAS_ESCOLA;2020;IN_ALIMENTACAO;31;16;51.613;0;1;0.8;1;0;1
BAS_ESCOLA;2020;IN_ORGAO_ASS_PAIS;31;13;41.935;0;0;0;0;0;0
BAS_ESCOLA;2020;IN_ORGAO_ASS_PAIS_MESTRES;31;6;19.355;0;1;0.24;0;0;1
BAS_ESCOLA;2020;IN_ORGAO_CONSELHO_ESCOLAR;31;12;38.71;0;1;0.6842;1;0;1
BAS_ESCOLA;2021;NU_ANO;31;0;0;2021;2021;2021;2021;2021;2021
BAS_ESCOLA;2021;CO_ENTIDADE;31;0;0;;;;;;
BAS_ESCOLA;2021;TP_SITUACAO_FUNCIONAMENTO;31;0;0;1;4;1.7097;1;1;4
BAS_ESCOLA;2021;TP_FALTANTE;31;8;25.806;0;0;0;0;0;0
BAS_ESCOLA;2021;CO_UF;31;0;0;;;;;;
BAS_ESCOLA;2021;CO_MUNICIPIO;31;0;0;;;;;;
BAS_ESCOLA;2021;TP_DEPENDENCIA;31;0;0;2;4;2.8387;3;2;4
BAS_ESCOLA;2021;TP_LOCALIZACAO;31;0;0;1;2;1.4839;1;1;2
BAS_ESCOLA;2021;TP_LOCALIZACAO_DIFERENCIADA;31;11;35.484;0;0;0;0;0;0
BAS_ESCOLA;2021;TP_CATEGORIA_ESCOLA_PRIVADA;31;28;90.323;1;2;1.3333;1;1;1.98
BAS_ESCOLA;2021;IN_LOCAL_FUNC_PREDIO_ESCOLAR;31;16;51.613;0;1;0.9333;1;0.14;1
BAS_ESCOLA;2021;IN_LOCAL_FUNC_SOCIOEDUCATIVO;31;12;38.71;0;0;0;0;0;0
BAS_ESCOLA;2021;IN_LOCAL_FUNC_UNID_PRISIONAL;31;9;29.032;0;1;0.0455;0;0;0.789999999999999
BAS_ESCOLA;2021;IN_LOCAL_FUNC_PRISIONAL_SOCIO;31;15;48.387;0;0;0;0;0;0
BAS_ESCOLA;2021;IN_LOCAL_FUNC_GALPAO;31;11;35.484;0;0;0;0;0;0
BAS_ESCOLA;2021;IN_LOCAL_FUNC_SALAS_OUTRA_ESC;31;11;35.484;0;0;0;0;0;0
BAS_ESCOLA;2021;IN_LOCAL_FUNC_OUTROS;31;14;45.161;0;0;0;0;0;0
BAS_ESCOLA;2021;IN_PREDIO_COMPARTILHADO;31;12;38.71;0;1;0.1053;0;0;1
BAS_ESCOLA;2021;IN_AGUA_POTAVEL;31;11;35.484;0;1;0.95;1;0.19;1
BAS_ESCOLA;2021;IN_AGUA_REDE_PUBLICA;31;14;45.161;0;1;0.7059;1;0;1
BAS_ESCOLA;2021;IN_AGUA_POCO_ARTESIANO;31;7;22.581;0;1;0.125;0;0;1
BAS_ESCOLA;2021;IN_AGUA_CACIMBA;31;8;25.806;0;1;0.1304;0;0;1
BAS_ESCOLA;2021;IN_AGUA_FONTE_RIO;31;7;22.581;0;0;0;0;0;0
BAS_ESCOLA;2021;IN_AGUA_INEXISTENTE;31;12;38.71;0;0;0;0;0;0
BAS_ESCOLA;2021;IN_ENERGIA_REDE_PUBLICA;31;7;22.581;1;1;1;1;1;1
BAS_ESCOLA;2021;IN_ENERGIA_GERADOR_FOSSIL;31;18;58.065;0;0;0;0;0;0
BAS_ESCOLA;2021;IN_ENERGIA_RENOVAVEL;31;14;45.161;0;0;0;0;0;0
BAS_ESCOLA;2021;IN_ENERGIA_INEXISTENTE;31;8;25.806;0;0;0;0;0;0
BAS_ESCOLA;2021;IN_ESGOTO_REDE_PUBLICA;31;10;32.258;0;1;0.5714;1;0;1
BAS_ESCOLA;2021;IN_ESGOTO_FOSSA_SEPTICA;31;9;29.032;0;1;0.1364;0;0;1
BAS_ESCOLA;2021;IN_ESGOTO_FOSSA_COMUM;31;11;35.484;0;1;0.25;0;0;1
BAS_ESCOLA;2021;IN_ESGOTO_FOSSA;31;7;22.581;0;1;0.4583;0;0;1
BAS_ESCOLA;2021;IN_ESGOTO_INEXISTENTE;31;13;41.935;0;1;0.1111;0;0;1
BAS_ESCOLA;2021;IN_LIXO_SERVICO_COLETA;31;14;45.161;0;1;0.5294;1;0;1
BAS_ESCOLA;2021;IN_LIXO_QUEIMA;31;8;25.806;0;1;0.0435;0;0;0.780000000000001
BAS_ESCOLA;2021;IN_LIXO_ENTERRA;31;15;48.387;0;0;0;0;0;0
BAS_ESCOLA;2021;IN_LIXO_DESTINO_FINAL_PUBLICO;31;12;38.71;0;1;0.1579;0;0;1
BAS_ESCOLA;2021;IN_LIXO_DESCARTA_OUTRA_AREA;31;9;29.032;0;1;0.0455;0;0;0.789999999999999
BAS_ESCOLA;2021;IN_TRATAMENTO_LIXO_SEPARACAO;31;12;38.71;0;1;0.2632;0;0;1
BAS_ESCOLA;2021;IN_TRATAMENTO_LIXO_REUTILIZA;31;14;45.161;0;0;0;0;0;0
BAS_ESCOLA;2021;IN_TRATAMENTO_LIXO_RECICLAGEM;31;16;51.613;0;1;0.0667;0;0;0.859999999999999
BAS_ESCOLA;2021;IN_TRATAMENTO_LIXO_INEXISTENTE;31;10;32.258;0;1;0.6667;1;0;1
BAS_ESCOLA;2021;IN_BANHEIRO;31;11;35.484;0;1;0.95;1;0.19;1
BAS_ESCOLA;2021;IN_BANHEIRO_PNE;31;12;38.71;0;1;0.4737;0;0;1
BAS_ESCOLA;2021;IN_BIBLIOTECA_SALA_LEITURA;31;14;45.161;0;1;0.4706;0;0;1
BAS_ESCOLA;2021;IN_LABORATORIO_CIENCIAS;31;10;32.258;0;1;0.1429;0;0;1
BAS_ESCOLA;2021;IN_LABORATORIO_INFORMATICA;31;13;41.935;0;1;0.2778;0;0;1
BAS_ESCOLA;2021;IN_QUADRA_ESPORTES;31;11;35.484;0;1;0.2;0;0;1
BAS_ESCOLA;2021;QT_SALAS_UTILIZADAS;31;8;25.806;1;24;8.3913;6;1;23.12
BAS_ESCOLA;2021;IN_COMPUTADOR;31;16;51.613;0;1;0.8;1;0;1
BAS_ESCOLA;2021;IN_EQUIP_MULTIMIDIA;31;13;41.935;0;1;0.5;0.5;0;1
BAS_ESCOLA;2021;QT_EQUIP_MULTIMIDIA;31;15;48.387;0;5;1.3125;1;0;4.7
BAS_ESCOLA;2021;IN_DESKTOP_ALUNO;31;12;38.71;0;1;0.5789;1;0;1
BAS_ESCOLA;2021;QT_DESKTOP_ALUNO;31;13;41.935;0;12.6157339691417;2.7429;0;0;12.5652435453026
BAS_ESCOLA;2021;IN_COMP_PORTATIL_ALUNO;31;5;16.129;0;1;0.2692;0;0;1
BAS_ESCOLA;2021;QT_COMP_PORTATIL_ALUNO;31;8;25.806;0;5.87736958544701;1.0073;0;0;5.63513151369989
BAS_ESCOLA;2021;IN_TABLET_ALUNO;31;15;48.387;0;1;0.0625;0;0;0.85
BAS_ESCOLA;2021;QT_TABLET_ALUNO;31;10;32.258;0;1.04086311114952;0.2779;0.217516201082617;0;1.03131482147146
BAS_ESCOLA;2021;IN_INTERNET;31;11;35.484;0;1;0.75;1;0;1
BAS_ESCOLA;2021;IN_INTERNET_ALUNOS;31;11;35.484;0;1;0.45;0;0;1
BAS_ESCOLA;2021;IN_ACESSO_INTERNET_COMPUTADOR;31;13;41.935;0;1;0.4444;0;0;1
BAS_ESCOLA;2021;IN_BANDA_LARGA;31;16;51.613;0;1;0.8;1;0;1
BAS_ESCOLA;2021;QT_PROF_COORDENADOR;31;13;41.935;0;3;0.6111;0;0;3
BAS_ESCOLA;2021;QT_PROF_FONAUDIOLOGO;31;8;25.806;0;1;0.0435;0;0;0.780000000000001
BAS_ESCOLA;2021;QT_PROF_NUTRICIONISTA;31;11;35.484;0;1;0.15;0;0;1
BAS_ESCOLA;2021;QT_PROF_PSICOLOGO;31;6;19.355;0;1;0.04;0;0;0.759999999999998
BAS_ESCOLA;2021;QT_PROF_PEDAGOGIA;31;13;41.935;0;88888;4939.3333;1;0;73777.7199999998
BAS_ESCOLA;2021;IN_ALIMENTACAO;31;10;32.258;0;1;0.9048;1;0;1
BAS_ESCOLA;2021;IN_ORGAO_ASS_PAIS;31;14;45.161;0;1;0.0588;0;0;0.84
BAS_ESCOLA;2021;IN_ORGAO_ASS_PAIS_MESTRES;31;10;32.258;0;1;0.381;0;0;1
BAS_ESCOLA;2021;IN_ORGAO_CONSELHO_ESCOLAR;31;13;41.935;0;1;0.5556;1;0;1
BAS_ESCOLA;2022;NU_ANO;31;0;0;2022;2022;2022;2022;2022;2022
BAS_ESCOLA;2022;CO_ENTIDADE;31;0;0;;;;;;
BAS_ESCOLA;2022;TP_SITUACAO_FUNCIONAMENTO;31;0;0;1;4;1.9355;1;1;4
BAS_ESCOLA;2022;TP_FALTANTE;31;4;12.903;0;0;0;0;0;0
BAS_ESCOLA;2022;CO_UF;31;0;0;;;;;;
BAS_ESCOLA;2022;CO_MUNICIPIO;31;0;0;;;;;;
BAS_ESCOLA;2022;TP_DEPENDENCIA;31;0;0;2;4;2.8065;3;2;4
BAS_ESCOLA;2022;TP_LOCALIZACAO;31;0;0;1;2;1.4516;1;1;2
BAS_ESCOLA;2022;TP_LOCALIZACAO_DIFERENCIADA;31;8;25.806;0;2;0.087;0;0;1.56
BAS_ESCOLA;2022;TP_CATEGORIA_ESCOLA_PRIVADA;31;27;87.097;1;1;1;1;1;1
BAS_ESCOLA;2022;IN_LOCAL_FUNC_PREDIO_ESCOLAR;31;13;41.935;1;1;1;1;1;1
BAS_ESCOLA;2022;IN_LOCAL_FUNC_SOCIOEDUCATIVO;31;9;29.032;0;0;0;0;0;0
BAS_ESCOLA;2022;IN_LOCAL_FUNC_UNID_PRISIONAL;31;13;41.935;0;0;0;0;0;0
BAS_ESCOLA;2022;IN_LOCAL_FUNC_PRISIONAL_SOCIO;31;10;32.258;0;0;0;0;0;0
BAS_ESCOLA;2022;IN_LOCAL_FUNC_GALPAO;31;14;45.161;0;0;0;0;0;0
BAS_ESCOLA;2022;IN_LOCAL_FUNC_SALAS_OUTRA_ESC;31;13;41.935;0;1;0.0556;0;0;0.829999999999998
BAS_ESCOLA;2022;IN_LOCAL_FUNC_OUTROS;31;11;35.484;0;1;0.1;0;0;1
BAS_ESCOLA;2022;IN_PREDIO_COMPARTILHADO;31;15;48.387;0;1;0.125;0;0;1
BAS_ESCOLA;2022;IN_AGUA_POTAVEL;31;14;45.161;0;1;0.8824;1;0;1
BAS_ESCOLA;2022;IN_AGUA_REDE_PUBLICA;31;13;41.935;0;1;0.5;0.5;0;1
BAS_ESCOLA;2022;IN_AGUA_POCO_ARTESIANO;31;19;61.29;0;1;0.1667;0;0;1
BAS_ESCOLA;2022;IN_AGUA_CACIMBA;31;11;35.484;0;1;0.1;0;0;1
BAS_ESCOLA;2022;IN_AGUA_FONTE_RIO;31;16;51.613;0;1;0.0667;0;0;0.859999999999999
BAS_ESCOLA;2022;IN_AGUA_INEXISTENTE;31;8;25.806;0;0;0;0;0;0
BAS_ESCOLA;2022;IN_ENERGIA_REDE_PUBLICA;31;17;54.839;1;1;1;1;1;1
BAS_ESCOLA;2022;IN_ENERGIA_GERADOR_FOSSIL;31;16;51.613;0;0;0;0;0;0
BAS_ESCOLA;2022;IN_ENERGIA_RENOVAVEL;31;14;45.161;0;0;0;0;0;0
BAS_ESCOLA;2022;IN_ENERGIA_INEXISTENTE;31;9;29.032;0;1;0.0455;0;0;0.789999999999999
BAS_ESCOLA;2022;IN_ESGOTO_REDE_PUBLICA;31;18;58.065;0;1;0.8462;1;0;1
BAS_ESCOLA;2022;IN_ESGOTO_FOSSA_SEPTICA;31;15;48.387;0;1;0.3125;0;0;1
BAS_ESCOLA;2022;IN_ESGOTO_FOSSA_COMUM;31;11;35.484;0;1;0.15;0;0;1
BAS_ESCOLA;2022;IN_ESGOTO_FOSSA;31;12;38.71;0;1;0.3684;0;0;1
BAS_ESCOLA;2022;IN_ESGOTO_INEXISTENTE;31;10;32.258;0;1;0.0476;0;0;0.800000000000001
BAS_ESCOLA;2022;IN_LIXO_SERVICO_COLETA;31;14;45.161;0;1;0.8235;1;0;1
BAS_ESCOLA;2022;IN_LIXO_QUEIMA;31;10;32.258;0;1;0.0952;0;0;1
BAS_ESCOLA;2022;IN_LIXO_ENTERRA;31;10;32.258;0;0;0;0;0;0
BAS_ESCOLA;2022;IN_LIXO_DESTINO_FINAL_PUBLICO;31;11;35.484;0;0;0;0;0;0
BAS_ESCOLA;2022;IN_LIXO_DESCARTA_OUTRA_AREA;31;9;29.032;0;0;0;0;0;0
