NU_ANO;ID_TURMA;TP_MEDIACAO_DIDATICO_PEDAGO;NU_DIAS_ATIVIDADE;TP_ETAPA_ENSINO;IN_REGULAR;IN_EJA;IN_PROFISSIONALIZANTE;QT_MATRICULAS;CO_ENTIDADE
2024;50000038;1;5;21;1;0;0;17.0872607518686;11000005
2024;50000039;1;5;16;1;0;0;29.8550599307055;11000005
2024;50000040;1;1;;1;0;1;30.6476536887931;11000005
2024;50000041;1;5;2;1;;0;12.972897348227;11000005
2024;50000042;1;5;1;;0;0;42.4991705631837;11000005
2024;50000043;1;5;2;1;0;0;27.7138662774814;11000006
2024;50000044;1;5;70;1;0;;10.0953693839256;11000006
2024;50000045;1;5;1;1;0;;26.6198535333388;11000006
2024;50000046;1;1;21;1;;0;8.72761212696787;11000006
2024;50000047;1;2;2;1;0;0;17.4553801526781;11000006
2024;50000048;1;5;19;1;0;;5.12523449026048;11000006
2024;50000049;1;5;19;1;0;0;26.5109066653531;11000006
2024;50000050;1;5;1;1;0;0;31.122934432351;11000007
2024;50000051;1;1;;0;0;0;29.1645536117721;11000007
2024;50000052;1;5;25;;0;0;9.91813088068739;11000007
2024;50000053;1;5;2;1;0;;28.7605496111792;11000007
2024;50000054;1;5;;1;0;;32.3493379371939;11000007
2024;50000055;1;2;71;0;0;0;6.09549797547516;11000007
2024;50000056;1;5;;1;;0;31.1182729963912;11000007
2024;50000057;1;5;14;;0;;31.6134997660993;11000008
2024;50000058;1;5;3;;0;0;43.3987507773563;11000008
2024;50000059;1;5;;;0;;21.1501847644104;11000008
2024;50000060;1;5;;1;0;0;5.99505700112786;11000008
2024;50000061;1;1;1;1;0;0;6.11226325738244;11000008
2024;50000062;1;5;1;;;0;15.0765535555547;11000008
2024;50000063;1;5;25;1;0;0;2.08188908873126;11000008
2024;50000064;1;5;22;1;0;1;21.7128815862816;11000009
2024;50000065;1;5;1;1;0;;19.5495721785119;11000009
2024;50000066;1;5;17;1;0;0;7.40366327983793;11000009
2024;50000067;1;5;14;1;0;0;22.2764875902794;11000009
2024;50000068;1;5;;1;0;0;7.24051555909682;11000009
2024;50000069;1;5;2;1;0;0;14.4067784963408;11000009
2024;50000070;1;5;16;0;0;0;10.2344816131517;11000009
2024;50000071;1;5;1;1;;0;21.3190644420683;11000010
2024;50000072;1;5;70;1;0;1;16.0912609123625;11000010
2024;50000073;1;5;23;;0;0;17.2805898723891;11000010
2024;50000074;1;5;14;;0;0;20.1894731965149;11000010
2024;50000075;1;5;1;1;0;0;0.101099419407547;11000010
2024;50000076;3;5;1;1;0;0;19.1059345105896;11000010
2024;50000077;1;5;26;1;0;0;24.6820939041209;11000010
2024;50000078;1;5;;1;0;;10.1840123930015;11000011
2024;50000079;1;5;2;1;0;0;14.0344772941899;11000011
2024;50000080;1;5;;0;;0;7.08482499059755;11000011
2024;50000081;1;5;17;1;0;;8.57344202697277;11000011
2024;50000082;1;5;1;1;1;0;24.5372703875182;11000011
2024;50000083;1;5;1;1;0;0;36.6051335623488;11000011
2024;50000084;1;5;1;1;0;0;14.3898715864634;11000011
2024;50000085;1;5;1;1;;0;9.12777687073685;11000012
2024;50000086;1;5;21;1;;;7.403717203415;11000012
2024;50000087;1;5;15;1;;0;10.1444246643223;11000012
2024;50000088;1;5;19;1;;0;11.2163014552789;11000012
2024;50000089;1;1;2;1;0;0;11.2878286966588;11000012
2024;50000090;1;5;22;1;0;0;14.1526028967928;11000012
2024;50000091;1;5;;1;0;0;29.0067263034871;11000012
2024;50000092;1;5;41;1;0;;11.3697667070664;11000013
2024;50000093;1;5;18;1;0;;30.3845895954873;11000013
2024;50000094;1;5;18;1;0;0;3.74976918101311;11000013
2024;50000095;1;5;17;1;0;;24.7290385857923;11000013
2024;50000096;1;5;21;1;0;;32.8557588515105;11000013
2024;50000097;1;5;1;1;0;0;13.385228983243;11000013
2024;50000098;1;6;69;0;0;0;41.0943726021797;11000013
2024;50000099;3;5;31;0;0;0;11.301516231033;11000014
2024;50000100;1;5;1;1;0;0;35.2411025194451;11000014
2024;50000101;1;5;17;1;0;0;7.90339023398701;11000014
2024;50000102;1;1;20;1;0;0;27.5076909956988;11000014
2024;50000103;1;5;71;1;0;0;16.3571089232573;11000014
2024;50000104;1;5;1;1;0;0;25.9949893830344;11000014
2024;50000105;1;5;14;1;;0;2.00363472104073;11000014
2024;50000106;1;5;25;1;0;0;29.662565709441;11000015
2024;50000107;1;5;2;1;0;0;3.91655541025102;11000015
2024;50000108;1;5;64;;0;0;34.3083123643883;11000015
2024;50000109;1;5;19;1;0;;14.0212406538194;11000015
2024;50000110;1;2;17;1;0;0;16.5546091581928;11000015
2024;50000111;1;5;41;;;0;23.3435546554392;11000015
2024;50000112;1;5;;;1;0;21.4491843548603;11000015
2024;50000113;1;6;2;1;;0;24.0726587147219;11000016
2024;50000114;1;5;;1;0;0;22.6821285666665;11000016
2024;50000115;1;5;;1;0;0;30.9327067609411;11000016
2024;50000116;1;5;26;1;0;0;30.7039945817087;11000016
2024;50000117;1;5;31;1;0;0;17.0962134102592;11000016
2024;50000118;1;2;;;0;0;30.6380451400764;11000016
2024;50000119;1;5;2;;0;0;1.29442717880011;11000016
2024;50000120;1;5;2;0;0;0;39.163192642387;11000017
2024;50000121;1;5;2;1;0;0;29.1904797969619;11000017
2024;50000122;1;5;25;1;0;;8.41691662091762;11000017
2024;50000123;1;5;25;1;0;0;13.7313331756741;11000017
2024;50000124;1;5;21;1;0;0;26.8619641382247;11000017
2024;50000125;1;5;17;1;0;0;45.4300068006851;11000017
2024;50000126;1;5;;1;0;0;22.4763929424807;11000017
2024;50000127;1;5;20;;0;0;9.04970884614158;11000018
2024;50000128;1;5;27;1;0;0;28.5035355505534;11000018
2024;50000129;1;5;20;1;0;0;19.904417648213;11000018
2024;50000130;1;5;2;1;0;0;0.641790498048067;11000018
2024;50000131;1;5;20;1;0;0;24.7848791111028;11000018
2024;50000132;1;5;;1;0;0;26.1656308389502;11000018
2024;50000133;1;5;27;;0;0;0.707730196882039;11000018
2024;50000134;1;5;;0;0;0;11.8984762742184;11000019
2024;50000135;1;5;15;1;0;0;11.7229483427946;11000019
2024;50000136;1;5;15;1;0;1;5.95254293177277;11000019
2024;50000137;1;5;2;0;0;0;21.9647717842599;11000019
2024;50000138;1;5;1;1;0;0;33.6872146409005;11000019
2024;50000139;1;5;19;1;0;0;25.9092633024557;11000019
2024;50000140;1;5;;1;0;0;6.75381474604365;11000019
2024;50000141;1;5;26;1;0;0;24.4890046142973;11000020
2024;50000142;1;5;26;1;0;0;4.89373231539503;11000020
2024;50000143;1;5;1;1;0;;14.2954878992168;11000020
2024;50000144;1;5;22;1;0;0;12.9486122506205;11000020
2024;50000145;1;6;2;;0;0;25.7664283923805;11000020
2024;50000146;1;2;69;0;;0;16.4435823116219;11000020
2024;50000147;1;5;21;1;0;0;22.9996870394098;11000020
2024;50000148;1;5;16;1;0;;11.2309465347789;11000021
2024;50000149;1;5;;1;0;1;24.9359185819048;11000021
2024;50000150;1;1;2;1;;0;20.0696732889628;11000021
2024;50000151;1;3;20;;0;0;30.3375571820652;11000021
2024;50000152;1;;27;1;0;0;12.0974632055732;11000021
2024;50000153;1;5;27;1;0;;27.8412840689998;11000021
2024;50000154;1;1;16;1;;0;28.3313113061013;11000021
2024;50000155;1;5;18;1;0;0;21.2741699093021;11000022
2024;50000156;1;5;1;1;;0;22.7043639041949;11000022
2024;50000157;1;5;;1;0;0;12.5681237538811;11000022
2024;50000158;1;2;;0;0;0;4.68447243329138;11000022
2024;50000159;1;4;20;1;0;0;13.3518987818388;11000022
2024;50000160;1;5;22;1;0;0;23.0349363310961;11000022
2024;50000161;1;1;14;1;1;0;10.5228786810767;11000022
2024;50000162;1;5;26;1;;0;25.1592155994149;11000023
2024;50000163;1;2;1;0;0;0;29.9830832181033;11000023
2024;50000164;1;1;71;1;;0;32.7631919115083;11000023
2024;50000165;1;5;2;1;;;2.80848315451294;11000023
2024;50000166;1;5;2;1;0;0;24.4632022932638;11000023
2024;50000167;1;5;2;1;0;0;22.625151554239;11000023
2024;50000168;1;5;18;1;0;0;0.206191174220294;11000023
2024;50000169;1;5;;1;;0;21.2751067714999;11000024
2024;50000170;1;5;;1;0;0;1.32190013537183;11000024
2024;50000171;1;5;2;;0;0;12.6964620593935;11000024
2024;50000172;1;5;19;1;0;0;23.767117736279;11000024
2024;50000173;1;5;;1;1;0;23.0927384865936;11000024
2024;50000174;1;5;19;;;0;29.0136104990961;11000024
2024;50000175;1;5;14;1;0;0;25.7202803262044;11000024
2024;50000176;1;1;69;1;0;;23.2578574278159;11000025
2024;50000177;1;5;16;1;0;;32.0894730562577;11000025
2024;50000178;1;5;;;0;0;2.40544335683808;11000025
2024;50000179;1;4;15;0;0;0;20.8265792782186;11000025
2024;50000180;1;1;;1;;;6.99874764715787;11000025
2024;50000181;1;5;23;1;0;0;23.039310289314;11000025
2024;50000182;1;5;;1;0;0;17.2531982755754;11000025
2024;50000183;1;3;26;;0;0;6.24413948564325;11000026
2024;50000184;1;5;2;1;0;0;19.5531052642036;11000026
2024;50000185;1;5;18;1;;0;27.3905738757458;11000026
2024;50000186;1;5;;1;;0;7.92679046455305;11000026
2024;50000187;1;5;;;0;0;18.9243645628449;11000026
2024;50000188;1;1;17;;0;0;30.8209829492262;11000026
2024;50000189;1;5;15;1;0;;7.71093619288877;11000026
2024;50000190;1;5;26;1;0;0;6.7552043433534;11000027
2024;50000191;1;5;1;1;0;;20.1148721890058;11000027
2024;50000192;1;5;;1;0;0;28.9529317879351;11000027
2024;50000193;1;5;21;1;;;6.14527188183274;11000027
2024;50000194;1;5;16;1;0;0;29.7246655478375;11000027
2024;50000195;1;5;30;1;;0;31.3989122398198;11000027
2024;50000196;1;5;18;1;;0;14.6853054716485;11000027
2024;50000197;1;5;2;1;0;;8.36749811598565;11000028
2024;50000198;1;5;40;1;1;0;27.9000090347836;11000028
2024;50000199;1;5;1;1;0;0;20.0250029511517;11000028
2024;50000200;1;5;40;1;0;0;25.2370888559381;11000028
2024;50000201;1;5;1;1;0;0;15.1232937979512;11000028
2024;50000202;1;5;14;0;;0;11.7706895328593;11000028
2024;50000203;1;2;1;;1;0;41.7816782407463;11000028
2024;50000204;1;5;15;1;0;0;7.4124171823496;11000029
2024;50000205;1;5;41;1;0;0;4.27977929357439;11000029
2024;50000206;1;5;;1;0;1;31.6884855704848;11000029
2024;50000207;1;5;1;1;1;0;35.952368051745;11000029
2024;50000208;1;1;27;1;0;;7.55173586832825;11000029
2024;50000209;1;5;18;1;;0;25.009720310336;11000029
2024;50000210;3;5;74;1;0;0;8.08856917603407;11000029
2024;50000211;1;5;18;1;0;0;15.7512325694552;11000030
2024;50000212;1;5;14;;0;;28.810712241102;11000030
2024;50000213;1;5;;1;;;33.422683450859;11000030
2024;50000214;1;5;22;1;0;;2.28447646368295;11000030
2024;50000215;1;5;1;;;;27.7066442306386;11000030
2024;50000216;1;1;1;1;0;1;12.4971730826655;11000030
2024;50000217;1;4;20;1;0;0;32.1431203180691;11000030
