CO_ENTIDADE;CO_MUNICIPIO;CO_UF;CO_REGIAO;CO_DISTRITO;TP_DEPENDENCIA;TP_LOCALIZACAO;TP_LOCALIZACAO_DIFERENCIADA;TP_SITUACAO_FUNCIONAMENTO;NO_ENTIDADE;IN_AGUA_POTAVEL;IN_ENERGIA_REDE_PUBLICA;IN_ESGOTO_REDE_PUBLICA;IN_LIXO_SERVICO_COLETA;IN_BIBLIOTECA;IN_BIBLIOTECA_SALA_LEITURA;IN_LABORATORIO_CIENCIAS;IN_LABORATORIO_INFORMATICA;IN_QUADRA_ESPORTES;IN_INTERNET;IN_BANDA_LARGA;IN_COMPUTADOR;IN_ALIMENTACAO;IN_BANHEIRO;IN_BANHEIRO_PNE;IN_SALA_DIRETORIA;IN_SALA_PROFESSOR;IN_SECRETARIA;IN_COZINHA;IN_REFEITORIO;IN_ENERGIA_INEXISTENTE;IN_AGUA_INEXISTENTE;QT_SALAS_UTILIZADAS;QT_SALAS_UTILIZADAS_DENTRO;QT_SALAS_UTILIZADAS_FORA;QT_SALAS_UTILIZA_CLIMATIZADAS;IN_REGULAR;IN_EJA;IN_PROFISSIONALIZANTE;IN_ESPECIAL_EXCLUSIVA;IN_ESCOLARIZACAO;IN_MEDIACAO_PRESENCIAL;IN_MEDIACAO_SEMIPRESENCIAL;IN_MEDIACAO_EAD;IN_COMUM_FUND_AI;IN_COMUM_FUND_AF;IN_COMUM_MEDIO_MEDIO;NU_ANO
10000024;5300108;53;5;530010802;3;1;0;1;ESCOLA SINTETICA 10000024;1;1;1;0;1;1;1;1;0;1;1;1;0;1;1;1;1;1;1;1;0;0;13;11;2;2;1;0;0;0;1;1;0;0;0;1;0;2019
10000025;3205309;32;3;320530905;3;1;0;1;ESCOLA SINTETICA 10000025;1;1;1;0;0;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;0;0;16;14;2;1;1;0;0;0;1;1;0;0;1;0;0;2019
10000026;2507507;25;2;250750703;4;1;1;1;ESCOLA SINTETICA 10000026;1;0;1;1;1;0;1;1;1;1;1;1;0;1;1;0;1;1;1;1;1;0;6;5;1;1;1;1;0;0;1;1;0;0;0;0;0;2019
10000027;2211001;22;2;221100104;2;2;0;1;ESCOLA SINTETICA 10000027;0;1;1;1;0;1;1;0;0;1;1;1;1;1;0;1;0;0;0;1;0;0;11;10;1;4;1;0;0;0;1;1;0;0;1;1;0;2019
10000028;1302603;13;1;130260302;2;2;1;1;ESCOLA SINTETICA 10000028;0;0;1;1;0;1;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;16;14;2;6;1;1;0;0;1;1;0;0;1;1;1;2019
10000029;2111300;21;2;211130001;2;2;0;1;ESCOLA SINTETICA 10000029;1;0;1;1;0;0;0;1;0;0;1;0;1;1;1;0;1;0;0;1;0;0;11;9;2;6;1;0;0;0;1;1;0;0;1;0;1;2019
10000030;4106902;41;4;410690203;3;1;0;1;ESCOLA SINTETICA 10000030;0;1;1;1;0;1;1;0;1;1;1;1;1;1;1;0;1;1;1;1;0;1;10;9;1;2;1;0;0;0;1;1;0;0;1;1;1;2019
10000031;2927408;29;2;292740803;4;1;0;1;ESCOLA SINTETICA 10000031;1;1;1;1;1;1;0;0;1;1;0;1;0;1;0;1;1;0;1;1;0;0;26;23;3;13;1;0;0;0;1;1;0;0;1;1;1;2019
10000032;4314902;43;4;431490204;4;1;0;1;ESCOLA SINTETICA 10000032;1;1;1;0;0;0;1;1;1;1;0;1;1;1;1;1;1;1;1;1;0;0;12;11;1;1;1;0;0;0;1;1;0;0;1;1;0;2019
10000033;2211001;22;2;221100104;3;1;0;1;ESCOLA SINTETICA 10000033;1;1;1;1;1;0;1;1;1;0;1;0;1;1;1;1;1;1;1;1;0;0;12;10;2;2;1;0;0;0;1;1;0;0;0;1;0;2019
10000034;2800308;28;2;280030804;2;1;0;1;ESCOLA SINTETICA 10000034;1;1;1;0;1;1;1;1;1;1;1;1;0;1;0;1;1;1;1;1;0;0;4;3;1;2;1;0;0;0;1;1;0;0;1;1;0;2019
10000035;3304557;33;3;330455703;3;1;0;1;ESCOLA SINTETICA 10000035;0;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;0;0;8;7;1;2;1;1;0;0;1;1;0;0;1;0;1;2019
10000036;4106902;41;4;410690201;3;1;0;1;ESCOLA SINTETICA 10000036;1;1;1;1;1;0;1;1;1;0;0;1;1;0;1;0;1;1;1;0;0;0;15;14;1;1;1;0;0;0;1;1;0;0;1;0;0;2019
10000037;3304557;33;3;330455701;2;1;0;1;ESCOLA SINTETICA 10000037;1;1;1;0;1;1;1;1;1;0;1;1;1;0;1;1;1;1;0;1;0;0;8;6;2;2;1;0;0;1;1;1;0;0;1;1;0;2019
10000038;3550308;35;3;355030801;3;2;0;1;ESCOLA SINTETICA 10000038;0;1;1;0;0;0;0;1;1;1;1;1;0;1;0;0;0;1;1;1;0;0;14;11;3;2;1;0;0;0;1;1;0;0;0;1;0;2019
10000039;1302603;13;1;130260305;2;2;0;1;ESCOLA SINTETICA 10000039;1;0;1;1;0;0;0;0;1;0;0;0;1;1;1;0;1;1;1;0;0;0;6;5;1;1;1;0;0;0;1;1;0;0;0;1;0;2019
10000040;2304400;23;2;230440004;4;1;0;1;ESCOLA SINTETICA 10000040;0;1;1;1;1;1;1;0;1;1;1;1;1;1;0;1;1;1;0;1;0;0;26;25;1;16;1;0;0;0;1;1;0;0;0;1;1;2019
10000041;2211001;22;2;221100101;3;2;0;1;ESCOLA SINTETICA 10000041;1;0;1;0;0;0;0;0;0;1;1;1;0;1;0;1;0;0;0;0;0;0;12;11;1;4;1;0;0;0;1;1;0;0;1;1;0;2019
10000042;2111300;21;2;211130005;3;1;0;1;ESCOLA SINTETICA 10000042;1;0;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;0;0;14;13;1;4;1;0;0;0;1;1;0;0;1;1;0;2019
10000043;3304557;33;3;330455704;3;1;0;1;ESCOLA SINTETICA 10000043;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;1;1;1;0;0;6;5;1;1;1;0;0;0;1;1;0;0;1;0;1;2019
10000044;5103403;51;5;510340301;4;1;0;1;ESCOLA SINTETICA 10000044;1;1;1;1;0;1;0;1;1;1;1;0;1;1;1;1;1;1;1;1;0;0;12;10;2;0;1;0;0;0;1;1;0;0;0;0;0;2019
10000045;2111300;21;2;211130001;4;1;0;1;ESCOLA SINTETICA 10000045;1;1;0;0;1;1;0;1;1;1;1;1;1;1;1;0;1;1;1;1;0;0;20;19;1;5;1;0;0;0;1;1;0;0;0;0;1;2019
10000046;5300108;53;5;530010801;3;2;0;1;ESCOLA SINTETICA 10000046;0;1;0;1;0;0;0;0;1;1;1;1;0;1;0;0;1;0;0;1;0;0;17;13;4;2;1;0;0;0;1;1;0;0;0;0;1;2019
10000047;1600303;16;1;160030304;4;1;0;1;ESCOLA SINTETICA 10000047;1;0;1;1;0;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;0;9;8;1;2;1;0;0;0;1;1;0;0;1;1;1;2019
10000048;2304400;23;2;230440002;2;1;2;1;ESCOLA SINTETICA 10000048;1;1;1;1;1;0;1;1;1;1;1;0;1;1;1;1;1;0;1;1;0;0;7;6;1;0;1;1;0;0;1;1;0;0;1;1;0;2019
10000049;5208707;52;5;520870703;4;1;0;1;ESCOLA SINTETICA 10000049;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;0;0;20;16;4;6;1;0;0;0;1;1;0;0;1;0;0;2019
10000050;2304400;23;2;230440005;3;1;0;1;ESCOLA SINTETICA 10000050;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;1;1;1;1;0;0;18;15;3;4;1;0;0;0;1;1;0;0;0;1;0;2019
10000051;3106200;31;3;310620005;4;1;0;1;ESCOLA SINTETICA 10000051;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;0;0;28;25;3;9;1;0;0;0;1;1;0;0;1;1;0;2019
10000052;3106200;31;3;310620004;4;1;0;1;ESCOLA SINTETICA 10000052;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;20;19;1;2;1;1;1;0;1;1;0;0;1;0;0;2019
10000053;2211001;22;2;221100101;4;1;0;1;ESCOLA SINTETICA 10000053;1;1;1;0;1;1;1;1;1;0;1;1;1;1;1;1;1;0;0;0;0;0;10;9;1;2;1;0;1;0;1;1;0;0;1;0;0;2019
10000054;2611606;26;2;261160603;3;2;0;1;ESCOLA SINTETICA 10000054;0;1;1;0;1;1;1;0;0;1;1;0;0;0;1;1;1;1;1;0;0;0;5;4;1;3;1;1;0;0;1;1;0;0;0;0;1;2019
10000055;3304557;33;3;330455704;3;1;0;1;ESCOLA SINTETICA 10000055;1;1;1;0;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;0;0;12;10;2;4;1;0;0;0;1;1;0;0;0;1;1;2019
10000056;2611606;26;2;261160605;3;1;0;1;ESCOLA SINTETICA 10000056;1;1;1;1;1;1;0;1;1;1;0;1;1;1;1;1;1;1;0;1;0;0;4;3;1;2;1;0;1;0;1;1;0;0;1;0;0;2019
10000057;2800308;28;2;280030802;2;1;0;1;ESCOLA SINTETICA 10000057;1;1;1;1;1;1;1;1;0;0;1;0;0;1;1;1;0;1;1;1;0;0;14;13;1;0;1;1;0;0;1;1;0;0;1;1;0;2019
10000058;3550308;35;3;355030801;3;1;0;1;ESCOLA SINTETICA 10000058;1;0;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;0;0;17;15;2;4;1;0;0;0;1;1;0;0;0;1;0;2019
10000059;3509502;35;3;350950201;4;1;2;1;ESCOLA SINTETICA 10000059;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;0;0;24;19;5;1;1;1;0;0;1;1;0;0;1;0;0;2019
10000060;2507507;25;2;250750701;3;2;0;1;ESCOLA SINTETICA 10000060;0;0;1;1;0;0;0;1;0;0;0;1;0;0;1;1;0;0;1;0;1;0;15;12;3;6;1;0;0;0;1;1;0;0;1;0;0;2019
10000061;2800308;28;2;280030803;3;1;0;1;ESCOLA SINTETICA 10000061;1;1;0;1;1;0;0;1;1;1;0;1;1;1;0;1;1;1;1;1;0;0;18;17;1;7;1;0;0;0;1;1;0;0;1;0;0;2019
10000062;5103403;51;5;510340302;3;1;1;1;ESCOLA SINTETICA 10000062;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;0;12;9;3;1;1;1;0;1;1;1;0;0;1;1;0;2019
10000063;2611606;26;2;261160605;2;1;0;1;ESCOLA SINTETICA 10000063;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;0;0;16;12;4;5;1;1;0;0;1;1;0;0;1;1;0;2019
10000064;2408102;24;2;240810204;3;2;0;1;ESCOLA SINTETICA 10000064;0;0;0;1;0;1;0;0;1;1;0;0;1;0;1;1;0;0;0;1;0;0;10;9;1;0;1;0;0;1;1;1;0;0;1;0;0;2019
10000065;4205407;42;4;420540704;2;1;0;1;ESCOLA SINTETICA 10000065;1;1;1;1;1;0;1;1;0;1;0;1;1;1;1;1;1;1;0;0;0;0;15;13;2;3;1;1;0;0;1;1;0;0;0;1;0;2019
10000066;3550308;35;3;355030805;4;1;0;1;ESCOLA SINTETICA 10000066;1;1;1;1;0;1;1;1;1;1;0;1;1;1;1;1;1;1;0;0;0;0;13;12;1;5;1;0;0;0;1;1;0;0;1;0;0;2019
10000067;3509502;35;3;350950201;2;1;0;1;ESCOLA SINTETICA 10000067;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;0;0;5;4;1;0;1;0;0;0;1;1;0;0;1;1;0;2019
10000068;4106902;41;4;410690204;3;1;0;1;ESCOLA SINTETICA 10000068;1;0;1;1;0;1;1;1;1;1;1;0;1;1;1;0;1;1;1;1;1;0;2;1;1;0;1;0;0;0;1;1;0;0;1;0;1;2019
10000069;2800308;28;2;280030801;3;1;0;1;ESCOLA SINTETICA 10000069;1;1;0;1;1;1;1;1;1;1;1;0;1;0;1;1;1;1;1;0;0;0;6;5;1;0;1;0;1;0;1;1;0;0;1;1;0;2019
10000070;3509502;35;3;350950201;3;2;0;1;ESCOLA SINTETICA 10000070;0;0;0;1;1;0;0;0;0;0;0;0;1;1;0;1;1;0;1;0;0;1;13;12;1;1;1;0;0;0;1;1;0;0;0;0;1;2019
10000071;3304557;33;3;330455705;3;1;0;1;ESCOLA SINTETICA 10000071;0;1;0;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;0;1;0;0;2;1;1;0;1;0;1;0;1;1;0;0;1;1;1;2019
10000072;3205309;32;3;320530903;3;2;0;1;ESCOLA SINTETICA 10000072;0;1;1;0;0;0;1;0;1;1;1;0;1;0;1;0;1;0;1;1;0;0;19;16;3;2;1;0;0;0;1;1;0;0;1;1;0;2019
10000073;3550308;35;3;355030801;4;1;0;1;ESCOLA SINTETICA 10000073;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;0;0;0;7;6;1;1;1;1;0;0;1;1;0;0;1;1;0;2019
10000074;2704302;27;2;270430202;3;1;0;1;ESCOLA SINTETICA 10000074;1;0;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;0;0;13;10;3;8;1;1;0;0;1;1;0;0;1;0;0;2019
10000075;3550308;35;3;355030804;4;1;0;1;ESCOLA SINTETICA 10000075;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;1;0;0;18;14;4;6;1;0;0;0;1;1;0;0;1;1;1;2019
10000076;2927408;29;2;292740802;4;1;0;1;ESCOLA SINTETICA 10000076;1;1;0;1;1;0;1;0;1;1;1;1;1;1;1;1;1;1;1;1;0;0;9;8;1;5;1;0;0;0;1;1;0;0;1;1;0;2019
10000077;3304557;33;3;330455705;4;1;0;1;ESCOLA SINTETICA 10000077;1;1;0;0;1;1;1;1;1;1;0;1;0;1;1;1;0;1;1;1;0;0;7;6;1;2;1;0;1;0;1;1;0;0;1;1;0;2019
10000078;2211001;22;2;221100105;3;1;0;1;ESCOLA SINTETICA 10000078;1;0;1;1;1;1;1;1;0;1;1;0;1;1;1;0;1;1;0;0;0;0;11;9;2;7;1;0;0;0;1;1;0;0;1;1;0;2019
10000079;2507507;25;2;250750703;1;1;0;1;ESCOLA SINTETICA 10000079;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;0;1;1;0;0;27;24;3;8;1;1;0;0;1;1;0;0;1;1;0;2019
10000080;3304557;33;3;330455705;3;1;0;1;ESCOLA SINTETICA 10000080;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;0;1;1;0;0;16;14;2;3;1;0;0;0;1;1;0;0;0;1;0;2019
10000081;2408102;24;2;240810202;3;1;0;1;ESCOLA SINTETICA 10000081;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;0;0;4;3;1;2;1;1;0;0;1;1;0;0;1;0;0;2019
10000082;3550308;35;3;355030801;4;1;0;1;ESCOLA SINTETICA 10000082;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;0;0;10;8;2;1;1;0;0;0;1;1;0;0;1;1;0;2019
10000083;3106200;31;3;310620001;3;1;0;1;ESCOLA SINTETICA 10000083;1;1;1;1;1;1;0;1;0;1;0;1;1;1;1;1;1;1;1;0;0;0;2;1;1;0;1;0;0;0;1;1;0;0;1;0;0;2019
10000084;2304400;23;2;230440001;3;1;3;1;ESCOLA SINTETICA 10000084;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;0;1;0;0;9;7;2;2;1;0;0;0;1;1;0;0;1;0;0;2019
10000085;2611606;26;2;261160603;4;1;0;1;ESCOLA SINTETICA 10000085;1;0;0;0;1;1;1;1;1;1;0;1;1;1;1;0;1;1;1;1;1;0;16;15;1;0;1;1;0;0;1;1;0;0;0;0;0;2019
10000086;2408102;24;2;240810204;4;2;3;1;ESCOLA SINTETICA 10000086;0;1;1;1;1;1;1;1;0;1;1;0;1;1;1;1;1;1;0;1;0;0;30;28;2;1;1;0;0;0;1;1;0;0;1;1;0;2019
10000087;3509502;35;3;350950202;3;1;0;1;ESCOLA SINTETICA 10000087;1;1;1;1;1;1;0;1;1;1;1;0;1;1;1;1;0;1;1;1;0;0;11;8;3;3;1;0;1;0;1;1;0;0;0;0;1;2019
10000088;3205309;32;3;320530902;2;1;0;1;ESCOLA SINTETICA 10000088;0;1;1;1;0;1;1;1;1;0;0;1;1;0;1;1;1;0;1;1;0;0;15;12;3;3;1;0;0;0;1;1;0;0;1;0;0;2019
10000089;3205309;32;3;320530902;4;1;0;1;ESCOLA SINTETICA 10000089;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;0;0;18;14;4;0;1;0;0;0;1;1;0;0;1;0;1;2019
10000090;3106200;31;3;310620002;4;1;0;1;ESCOLA SINTETICA 10000090;1;1;1;1;1;1;1;1;0;1;1;1;1;1;0;1;0;0;1;0;0;0;28;24;4;4;1;1;0;0;1;1;0;0;1;1;1;2019
10000091;2800308;28;2;280030804;3;1;0;1;ESCOLA SINTETICA 10000091;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;0;1;1;1;0;0;11;10;1;5;1;0;0;0;1;1;0;0;0;1;0;2019
10000092;3304557;33;3;330455704;4;1;0;1;ESCOLA SINTETICA 10000092;1;1;1;1;1;0;1;1;1;1;1;1;1;1;0;1;0;1;1;1;0;0;29;27;2;4;1;0;1;0;1;1;0;0;1;1;1;2019
10000093;3550308;35;3;355030805;1;1;0;1;ESCOLA SINTETICA 10000093;1;1;1;0;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;0;0;13;12;1;1;1;1;0;0;1;1;0;0;0;0;0;2019
10000094;1100205;11;1;110020501;1;1;0;1;ESCOLA SINTETICA 10000094;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;0;1;1;0;0;6;4;2;4;1;0;0;0;1;1;0;0;1;1;0;2019
10000095;1200401;12;1;120040103;3;1;0;1;ESCOLA SINTETICA 10000095;1;1;1;0;1;1;1;1;0;1;0;1;1;1;1;1;1;1;1;1;0;0;14;12;2;4;1;1;0;0;1;1;0;0;1;0;0;2019
10000096;2927408;29;2;292740805;4;1;1;1;ESCOLA SINTETICA 10000096;1;1;1;1;0;1;0;1;0;1;1;1;1;1;0;1;1;1;1;1;0;0;16;13;3;11;1;0;0;0;1;1;0;0;1;0;0;2019
10000097;3106200;31;3;310620004;3;2;0;1;ESCOLA SINTETICA 10000097;0;0;1;1;1;1;1;0;1;0;0;0;0;0;0;0;1;1;0;1;1;0;20;17;3;6;1;1;0;0;1;1;0;0;1;1;0;2019
10000098;2507507;25;2;250750702;2;1;0;1;ESCOLA SINTETICA 10000098;0;1;1;0;1;1;1;1;1;1;0;1;1;0;1;1;1;1;1;1;0;1;11;10;1;8;1;0;0;0;1;1;0;0;1;1;0;2019
10000099;2927408;29;2;292740802;3;2;0;1;ESCOLA SINTETICA 10000099;0;0;1;0;1;0;0;0;1;0;1;0;0;1;0;0;0;1;0;0;1;0;2;1;1;0;1;1;0;0;1;1;0;0;0;1;1;2019
10000100;2304400;23;2;230440001;1;1;0;1;ESCOLA SINTETICA 10000100;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;24;21;3;13;1;0;0;0;1;1;0;0;1;0;0;2019
10000101;2304400;23;2;230440003;2;1;1;1;ESCOLA SINTETICA 10000101;1;1;1;0;1;1;0;1;1;1;0;1;1;1;1;1;1;1;1;1;0;0;12;11;1;0;1;0;0;0;1;1;0;0;1;1;0;2019
10000102;3550308;35;3;355030804;4;1;0;1;ESCOLA SINTETICA 10000102;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;0;1;1;0;0;11;8;3;2;1;0;0;0;1;1;0;0;0;1;0;2019
10000103;3550308;35;3;355030802;4;1;0;1;ESCOLA SINTETICA 10000103;1;1;0;1;1;1;1;1;1;0;0;1;1;1;1;1;1;1;1;1;0;0;24;21;3;8;1;0;0;0;1;1;0;0;1;1;0;2019
10000104;2211001;22;2;221100101;3;1;0;1;ESCOLA SINTETICA 10000104;1;1;1;1;1;0;1;1;1;1;1;0;1;1;1;1;1;1;0;1;0;0;17;15;2;2;1;0;0;0;1;1;0;0;1;0;1;2019
10000105;1100205;11;1;110020502;3;1;0;1;ESCOLA SINTETICA 10000105;1;1;0;1;0;1;1;1;1;1;1;1;0;1;1;1;0;1;1;1;0;0;17;16;1;1;1;0;0;0;1;1;0;0;1;1;1;2019
10000106;5208707;52;5;520870703;3;1;0;1;ESCOLA SINTETICA 10000106;1;1;1;0;1;1;0;1;1;0;1;0;1;1;1;0;1;1;1;1;0;0;2;1;1;0;1;0;0;0;1;1;0;0;1;1;1;2019
