CO_PESSOA_FISICA;ID_TURMA;ID_MATRICULA;NU_ANO;NU_IDADE_REFERENCIA;TP_SEXO;TP_COR_RACA;TP_NACIONALIDADE;CO_UF_NASC;CO_MUNICIPIO_NASC;CO_PAIS_RESIDENCIA;CO_UF_END;CO_MUNICIPIO_END;TP_ZONA_RESIDENCIAL;IN_NECESSIDADE_ESPECIAL;IN_TRANSPORTE_PUBLICO;IN_TRANSP_BICICLETA;IN_TRANSP_MICRO_ONIBUS;IN_TRANSP_ONIBUS;IN_TRANSP_TR_ANIMAL;IN_TRANSP_VANS_KOMBI;IN_TRANSP_OUTRO_VEICULO;IN_TRANSP_EMBAR_ATE5;IN_TRANSP_EMBAR_5A15;IN_TRANSP_EMBAR_15A35;IN_TRANSP_EMBAR_35;IN_ESPECIAL_EXCLUSIVA;IN_REGULAR;IN_EJA;IN_PROFISSIONALIZANTE;CO_ENTIDADE;TP_SITUACAO;TP_ETAPA_ENSINO;NU_DIAS_ATIVIDADE;QT_ESCOLAS_ANO;IN_TRANSFERIDO;IN_CONCLUINTE_FINAL;IN_FALECIDO;N_MATRICULAS_REG;IN_TROCA_ESCOLA;evadiu
1000000082;70000116;700000046;2024;16;2;3;1;;00001178;00000006;00000025;00001675;1;0;0;;0;;0;;;;0;;;0;1;0;0;11000016;;;5;1;0;0;0;1;0;
1000000083;70000063;700000047;2024;13;2;0;1;;00000492;00000005;;00001348;1;0;0;;;1;;;;0;;;;0;1;0;0;11000008;;69;5;1;0;0;0;1;0;
1000000084;70000067;700000048;2024;24;1;3;1;;00003100;00000003;00000022;00004717;1;0;0;;;;;;0;;;;;0;1;0;;11000009;;16;1;1;0;0;0;1;0;
1000000085;70000171;700000049;2024;23;1;0;1;;00003861;00000004;;;1;0;;;;;;;;;;;;0;1;0;0;11000024;;25;5;1;0;0;0;1;0;
1000000086;70000201;700000050;2024;17;1;3;1;;00000552;00000004;00000023;;1;0;0;;;;0;;;;;;;0;1;0;0;11000028;;;5;1;0;0;0;1;0;
1000000087;70000055;700000051;2024;19;1;3;1;;00003121;00000009;00000023;00004775;2;1;0;;;;;;;;;;;0;1;0;0;11000007;;21;5;1;0;0;0;1;0;
1000000088;70000156;700000052;2024;19;1;3;1;;00000198;00000001;00000010;;1;0;0;;0;;;0;;0;0;;;;1;0;0;11000022;;2;5;1;0;0;0;1;0;
1000000092;70000107;700000055;2024;17;1;3;1;;00005327;00000009;;00000951;2;0;0;;0;;;0;;;;;;0;1;0;0;11000015;;19;1;1;0;0;0;1;0;
1000000093;70000126;700000056;2024;27;1;3;1;;00002853;00000002;00000008;;1;0;0;;0;;0;0;;;;0;;0;1;0;0;11000017;;20;5;1;0;0;0;1;0;
1000000094;70000176;700000057;2024;8;2;3;1;;00000800;00000006;00000019;00002809;1;0;1;;;;;;;0;;0;0;0;1;;0;11000025;;30;5;1;0;0;0;1;0;
1000000096;70000057;700000058;2024;16;1;1;1;;00004649;00000005;;00004785;1;0;0;;;;0;;;;;;;0;1;0;0;11000008;;20;5;1;0;0;0;1;0;
1000000097;70000143;700000059;2024;14;1;0;1;;00004558;00000006;;00002170;1;0;0;0;;1;;0;0;0;;;;0;1;0;0;11000020;;15;5;1;0;0;0;1;0;
1000000098;70000135;700000060;2024;11;1;1;1;;00001975;00000003;00000010;;1;0;0;;;;0;;;;;;0;;1;0;0;11000019;;;5;1;0;0;0;1;0;
1000000101;70000140;700000061;2024;17;1;3;1;;00002599;00000006;;00004356;1;0;0;;;;;0;;0;;;0;0;1;0;0;11000019;;1;5;1;0;0;0;1;0;
1000000102;70000157;700000062;2024;17;2;0;1;;00004227;00000006;00000017;00005161;1;0;0;;;;;;;;;;;0;1;0;0;11000022;;;5;1;0;0;0;1;0;
1000000106;70000066;700000063;2024;11;1;1;1;;00004685;00000001;;00000117;1;0;0;;0;;;;;;;;;0;1;0;0;11000009;;15;5;1;0;0;0;1;0;
1000000108;70000016;700000064;2024;14;1;5;1;;00004040;00000002;;00005369;1;0;0;;;;;;;0;;;;0;1;0;0;11000002;;20;5;1;0;0;0;1;0;
1000000109;70000062;700000065;2024;20;1;3;1;;00003665;00000001;00000015;;1;0;0;;;;0;;;0;;;;0;1;0;;11000008;;1;5;1;0;0;0;1;0;
1000000111;70000085;700000066;2024;10;1;1;1;;00004585;00000001;00000015;00000353;1;0;0;;;;;0;0;;0;0;0;0;1;0;0;11000012;;1;5;1;0;0;0;1;0;
1000000120;70000134;700000069;2024;16;2;3;1;;00001325;00000007;00000026;00000261;2;0;0;;;;;;;;0;0;0;0;1;0;0;11000019;;;5;1;0;0;0;1;0;
1000000122;70000161;700000070;2024;23;1;0;1;;00003493;00000007;00000023;;2;0;0;;;;;;0;;;;;0;1;0;0;11000022;;;5;1;0;0;0;1;0;
1000000124;70000187;700000071;2024;12;1;0;1;;00000060;00000001;00000011;00002179;1;1;1;;;;;;;;;;;0;1;0;0;11000026;;14;5;1;0;0;0;1;0;
1000000126;70000090;700000072;2024;8;2;0;1;;00004138;00000008;;;1;0;0;;;;;;;;;;;0;1;0;0;11000012;;1;5;1;0;0;0;1;0;
1000000128;70000126;700000073;2024;17;2;3;1;;00001969;00000008;00000011;00000122;1;0;0;0;;;;1;;0;;;;0;1;;0;11000017;;20;5;1;0;0;0;1;0;
1000000134;70000073;700000075;2024;10;2;1;1;;00005037;00000009;;00003699;1;0;0;0;;;;;0;;;;;0;1;0;0;11000010;;1;5;1;0;0;0;1;0;
1000000138;70000112;700000076;2024;11;2;1;1;;00004219;00000006;;;1;0;1;;;;;;0;;;;;0;1;0;0;11000015;;21;5;1;0;0;0;1;0;
1000000139;70000034;700000077;2024;13;2;3;1;;00004128;00000008;;00004492;1;0;0;;1;;;;;0;;;0;0;1;0;1;11000004;;16;5;1;0;0;0;1;0;
1000000144;70000134;700000079;2024;11;2;1;1;;00001412;00000006;;00002802;1;0;0;;;1;;;;;0;;;0;1;0;0;11000019;;;5;1;0;0;0;1;0;
1000000145;70000176;700000080;2024;24;2;3;1;;00003026;00000009;;00001451;1;0;0;;;0;;;;;;;;;1;0;0;11000025;;30;5;1;0;0;0;1;0;
1000000150;70000196;700000082;2024;12;2;0;1;;00004584;00000003;00000013;;1;0;0;;;;;;;;;;;0;1;0;0;11000027;;;5;1;0;0;0;1;0;
1000000151;70000009;700000083;2024;16;2;1;1;;00003498;00000005;00000021;;1;1;0;;;;0;;;0;;;;0;1;1;0;11000001;;16;5;1;0;0;0;1;0;
1000000153;70000070;700000084;2024;22;1;1;1;;00005190;00000004;;00002403;1;0;;;;;;;;;;;;0;1;0;1;11000009;;27;5;1;0;0;0;1;0;
1000000154;70000055;700000085;2024;12;2;0;1;;00003942;00000002;00000023;00000099;1;0;0;;;;;;;;;0;0;0;1;0;0;11000007;;21;5;1;0;0;0;1;0;
1000000156;70000122;700000086;2024;21;1;0;1;;00000049;00000009;;00000406;1;0;1;0;;;;0;;;;;;0;1;0;0;11000017;;16;5;1;0;0;0;1;0;
1000000157;70000008;700000087;2024;20;2;0;1;;00002390;00000009;00000003;;1;0;0;0;0;;;;;;;0;0;0;1;0;;11000001;;;5;1;0;0;0;1;0;
1000000160;70000160;700000089;2024;27;1;1;1;;00004424;00000001;;;1;0;1;;;;;0;;;;;;0;1;0;0;11000022;;;2;1;0;0;0;1;0;
1000000162;70000196;700000090;2024;23;1;0;1;;00002776;00000004;00000006;;1;0;0;;;;;;;;;;0;0;1;0;0;11000027;;;5;1;0;0;0;1;0;
1000000163;70000199;700000091;2024;17;1;1;1;;00005463;00000005;00000016;00002007;1;0;0;0;;;;;;;;;;0;1;0;0;11000028;;25;5;1;0;0;0;1;0;
1000000164;70000143;700000092;2024;14;2;3;1;;00003624;00000006;;;1;0;0;0;;;;0;;;;;0;0;1;0;0;11000020;;15;5;1;0;0;0;1;0;
1000000165;70000155;700000093;2024;21;2;0;1;;00005417;00000006;00000016;;1;0;1;;;;;;0;;;;;0;1;;0;11000022;;;5;1;0;0;0;1;0;
1000000172;70000166;700000095;2024;22;1;3;1;;00003078;00000004;00000012;00002018;1;0;0;;;1;;;;;;0;0;0;1;0;0;11000023;;19;5;1;0;0;0;1;0;
1000000173;70000193;700000096;2024;15;2;0;1;;00000421;00000004;00000012;00003117;1;0;0;;1;;;;;;;0;;0;1;;0;11000027;;16;5;1;0;0;0;1;0;
1000000175;70000109;700000097;2024;21;1;1;1;;00003181;00000008;00000025;00002112;1;0;;;;;;;;0;;;;0;1;1;0;11000015;;17;2;1;0;0;0;1;0;
1000000176;70000129;700000098;2024;10;2;1;1;;00003364;00000006;;00003596;1;0;0;;;1;;;;;;0;;0;1;0;0;11000018;;;5;1;0;0;0;1;0;
1000000178;70000158;700000100;2024;24;2;0;1;;00001645;00000001;00000002;00005249;1;0;0;;;;;;;;;;;0;1;1;0;11000022;;;5;1;0;0;0;1;0;
1000000183;70000203;700000101;2024;18;2;0;1;;00005158;00000001;00000002;;2;0;0;;;;;;;;;0;;0;1;0;1;11000028;;1;5;1;0;0;0;1;0;
1000000184;70000026;700000102;2024;11;1;3;1;;00003789;00000008;;00000314;1;0;0;;;;;;;;;;;0;1;0;;11000003;;26;;1;0;0;0;1;0;
1000000185;70000125;700000103;2024;11;2;2;1;;00004724;00000001;00000011;00003692;1;0;0;;;;0;;;;;;0;0;1;0;0;11000017;;25;1;1;0;0;0;1;0;
1000000186;70000147;700000104;2024;8;1;0;1;;00000845;00000007;00000027;00000375;1;0;0;;;;;;;;0;;;0;1;0;0;11000020;;27;5;1;0;0;0;1;0;
1000000190;70000046;700000106;2024;17;1;3;1;;00005325;00000003;00000012;00003651;1;0;0;;;1;;0;;;;;;0;1;0;0;11000006;;19;5;1;0;0;0;1;0;
1000000192;70000065;700000107;2024;21;1;1;1;;00002142;00000007;;00000963;1;0;0;;;;0;;1;0;;;;0;1;0;0;11000009;;17;1;1;0;0;0;1;0;
1000000196;70000210;700000108;2024;14;2;3;1;;00000860;00000001;00000008;;1;0;0;;;1;;;;;;;;;1;0;0;11000029;;17;5;1;0;0;0;1;0;
1000000197;70000131;700000109;2024;19;1;3;1;;00004923;00000002;;00003866;1;0;0;;;;;;;0;;;0;0;1;0;0;11000018;;;5;1;0;0;0;1;0;
1000000198;70000136;700000110;2024;11;1;3;1;;00004184;00000009;00000003;;1;0;0;;;1;;;;;;;;0;1;0;0;11000019;;26;1;1;0;0;0;1;0;
1000000199;70000092;700000111;2024;11;2;1;1;;00004241;00000007;;00001341;2;0;0;;;;0;;;;0;0;;0;1;0;;11000013;;1;3;1;0;0;0;1;0;
1000000200;70000114;700000112;2024;9;2;3;1;;00003391;00000007;00000019;00003602;1;0;0;;0;;;;;;;;;0;1;0;0;11000016;;22;5;1;0;0;0;1;0;
1000000201;70000201;700000113;2024;14;1;3;1;;00001218;00000009;00000008;;1;0;0;;;;;0;;;0;;;0;1;0;0;11000028;;;5;1;0;0;0;1;0;
1000000203;70000105;700000114;2024;15;1;0;1;;;00000008;;;1;0;1;;;;;;;;0;0;0;0;1;0;0;11000014;;25;5;1;0;0;0;1;0;
1000000204;70000030;700000115;2024;21;2;1;1;;00002437;00000001;00000007;00001022;2;0;0;;;;;;;;;;0;0;1;0;0;11000004;;25;5;1;0;0;0;1;0;
1000000208;70000021;700000119;2024;17;2;3;1;;00005506;00000005;;;1;0;0;;0;;0;0;;;0;;;0;1;0;0;11000002;;;5;1;0;0;0;1;0;
1000000209;70000154;700000120;2024;18;2;0;1;;00005510;00000001;;;1;0;1;;;;;;;;;;;;1;0;0;11000021;;1;5;1;0;0;0;1;0;
1000000210;70000193;700000121;2024;14;2;3;1;;00001749;00000005;00000001;00000134;1;0;1;0;;;;0;0;;;0;;0;1;0;0;11000027;;16;5;1;0;0;0;1;0;
1000000212;70000036;700000122;2024;16;2;1;1;;00005171;00000001;;00001459;1;0;;;1;;;;0;0;;;;0;1;0;0;11000005;;;5;1;0;0;0;1;0;
1000000215;70000185;700000124;2024;10;1;3;1;;00002424;00000006;00000009;;1;0;0;;;;;;;;;;0;0;1;0;0;11000026;;26;5;1;0;0;0;1;0;
1000000218;70000023;700000126;2024;14;2;1;1;;00003844;00000005;;;1;0;1;;0;;;;;;;;0;0;1;0;0;11000003;;1;5;1;0;0;0;1;0;
1000000227;70000075;700000130;2024;21;1;3;1;;00000032;00000008;00000015;00005463;2;0;0;;;1;;;;;0;;;0;1;0;0;11000010;;69;5;1;0;0;0;1;0;
1000000228;70000160;700000131;2024;20;2;3;1;;00005172;00000002;00000018;;1;0;0;0;;;0;0;0;;0;;;0;1;;0;11000022;;;2;1;0;0;0;1;0;
1000000231;70000077;700000133;2024;21;2;3;1;;00003135;00000006;00000002;00002860;1;0;0;;;;;;;;;0;;0;1;0;0;11000010;;56;5;1;0;0;0;1;0;
1000000232;70000006;700000134;2024;18;2;1;1;;00001419;00000009;00000014;;1;0;0;;;;;;;0;;;;0;1;0;0;11000000;;16;5;1;0;0;0;1;0;
1000000236;70000010;700000135;2024;19;1;1;1;;00000030;00000004;;00004638;2;0;0;;;;;;;0;;0;;0;1;0;0;11000001;;2;5;1;0;0;0;1;0;
1000000240;70000078;700000136;2024;19;2;1;1;;00002754;00000003;;;1;0;0;0;;;;;0;0;0;;;0;1;1;0;11000011;;17;5;1;0;0;0;1;0;
1000000241;70000106;700000137;2024;23;2;3;1;;00001978;00000009;00000013;00001895;1;0;0;;;;;;;;;;;0;1;0;0;11000015;;32;5;1;0;0;0;1;0;
1000000244;70000148;700000139;2024;14;1;0;1;;00002870;00000007;00000019;00002880;1;0;0;0;;;;0;;;;;;0;1;0;0;11000021;;41;5;1;0;0;0;1;0;
1000000245;70000152;700000140;2024;15;1;3;1;;;00000002;00000010;;1;0;0;;;;;;;;0;;;0;1;0;;11000021;;2;3;1;0;0;0;1;0;
1000000246;70000026;700000141;2024;21;1;1;1;;00001010;00000009;00000016;00003891;1;0;0;;;;;;;;0;;0;0;1;0;0;11000003;;26;;1;0;0;0;1;0;
1000000247;70000054;700000142;2024;21;1;0;1;;00002812;00000001;00000005;00003675;1;0;0;;;;0;;;0;;;;0;1;0;0;11000007;;41;5;1;0;0;0;1;0;
1000000248;70000081;700000143;2024;14;2;3;1;;00002140;00000004;00000003;;1;1;1;;;;;;;;;;;0;1;;0;11000011;;14;5;1;0;0;0;1;0;
1000000249;70000116;700000144;2024;28;2;0;1;;00005536;00000007;00000012;00002917;1;0;0;;;;;;;;;0;;0;1;0;0;11000016;;;5;1;0;0;0;1;0;
1000000250;70000174;700000145;2024;16;1;1;1;;00002007;00000007;00000025;;2;0;0;;;;;0;;;;;;0;1;0;1;11000024;;14;5;1;0;0;0;1;0;
1000000251;70000210;700000146;2024;21;2;1;1;;00002251;00000004;;00002276;1;1;0;;;1;0;;;;0;;;;1;;0;11000029;;17;5;1;0;0;0;1;0;
1000000252;70000026;700000147;2024;18;2;0;1;;00002293;00000005;00000018;00004408;2;0;;;0;;;;;;;;;0;1;0;0;11000003;;26;;1;0;0;0;1;0;
1000000253;70000205;700000148;2024;14;2;3;1;;00001424;00000001;00000002;00004212;1;0;0;;;;;;0;0;;;;0;1;0;0;11000029;;21;5;1;0;0;0;1;0;
1000000254;70000139;700000149;2024;20;2;0;1;;00000574;00000008;00000019;00004398;1;0;0;0;;1;0;;;;;;;0;1;0;0;11000019;;2;5;1;0;0;0;1;0;
1000000255;70000177;700000150;2024;24;1;1;1;;00005300;00000004;;;1;0;0;;;;;;;;0;;;0;1;0;1;11000025;;68;5;1;0;0;0;1;0;
1000000256;70000122;700000151;2024;19;1;0;1;;00005291;00000009;00000026;00003723;1;0;0;;;;0;;0;;;;;;1;;0;11000017;;16;5;1;0;0;0;1;0;
1000000259;70000091;700000152;2024;13;1;1;1;;00002123;00000008;00000012;;2;0;0;0;1;;;;;;;;;0;1;0;0;11000012;;1;2;1;0;0;0;1;0;
1000000260;70000196;700000153;2024;12;1;3;1;;00003339;00000006;00000011;00003738;1;0;0;;0;;;;;;0;;0;0;1;0;;11000027;;;5;1;0;0;0;1;0;
1000000261;70000074;700000154;2024;19;2;0;1;;00002014;00000001;00000001;00004884;1;0;1;0;;;;;;;;;;0;1;0;0;11000010;;1;5;1;0;0;0;1;0;
1000000262;70000113;700000155;2024;18;1;1;1;;00001242;00000007;00000026;00003754;1;0;0;;;0;0;;;;;0;0;0;1;0;0;11000016;;15;1;1;0;0;0;1;0;
1000000264;70000048;700000156;2024;14;1;3;1;;00002990;00000006;00000004;;2;0;0;;;1;;0;;;;;;0;1;0;0;11000006;;17;5;1;0;0;0;1;0;
1000000265;70000038;700000157;2024;21;2;0;1;;00004476;00000001;;00002637;2;0;0;0;;;;;;0;;;;0;1;0;0;11000005;;26;2;1;0;0;0;1;0;
1000000272;70000139;700000159;2024;15;1;3;1;;00000665;00000006;00000021;00000161;1;0;1;;0;;;;;0;;0;;0;1;0;0;11000019;;2;5;1;0;0;0;1;0;
1000000273;70000213;700000160;2024;21;2;0;1;;00000869;00000001;00000023;;1;0;0;;;;;;;;;;;0;1;0;0;11000030;;40;5;1;0;0;0;1;0;
1000000274;70000207;700000161;2024;9;1;1;1;;00004300;00000002;00000017;00001635;1;0;1;;0;;;;;0;;;0;0;1;0;0;11000029;;21;5;1;0;0;0;1;0;
1000000276;70000141;700000162;2024;16;2;0;1;;00005560;00000003;00000010;00000661;1;0;;;;;;;;;0;;;0;1;0;0;11000020;;41;5;1;0;0;0;1;0;
1000000278;70000019;700000163;2024;15;2;2;1;;00001273;00000009;00000015;00003736;1;0;1;;;0;;;;;;;;;1;0;0;11000002;;;5;1;0;0;0;1;0;
1000000279;70000100;700000164;2024;16;2;1;1;;00005509;00000001;00000026;;1;0;0;;;;;;0;;;;;0;1;0;0;11000014;;15;1;1;0;0;0;1;0;
1000000285;70000145;700000166;2024;21;2;2;1;;00000311;00000008;00000003;00004049;2;0;0;;;;;;;;0;0;;0;1;1;0;11000020;;2;5;1;0;0;0;1;0;
1000000287;70000052;700000167;2024;20;1;1;1;;00001053;00000007;;00003627;1;0;1;;;;;;;0;0;0;;0;1;0;0;11000007;;;5;1;0;0;0;1;0;
1000000288;70000014;700000168;2024;16;2;2;1;;00003659;00000002;;00001193;2;0;1;;;;;;;;;;;0;1;0;0;11000001;;2;5;1;0;0;0;1;0;
1000000290;70000022;700000169;2024;25;2;0;1;;00001388;00000003;;00001930;1;0;1;;;;;;;0;;0;;0;1;0;;11000003;;2;5;1;0;0;0;1;0;
1000000291;70000162;700000170;2024;11;1;1;1;;00002955;00000002;00000011;;1;0;1;;;1;;;0;;;;0;0;1;0;0;11000023;;72;1;1;0;0;0;1;0;
1000000292;70000078;700000171;2024;18;2;1;1;;00003792;00000001;00000022;;1;0;0;0;;;;0;;;;;;0;1;0;0;11000011;;17;5;1;0;0;0;1;0;
1000000294;70000189;700000172;2024;16;1;0;1;;00002907;00000009;00000015;00004377;1;0;0;;;;;0;;;0;0;;0;1;0;0;11000026;;1;5;1;0;0;0;1;0;
1000000295;70000192;700000173;2024;19;2;1;1;;00002319;00000006;00000017;00003896;1;0;0;0;;;;;;;;;;0;1;0;0;11000027;;1;5;1;0;0;0;1;0;
1000000296;70000190;700000174;2024;11;1;2;1;;00003397;00000004;00000025;00000262;2;0;1;;;;;;;;;;;0;1;0;0;11000027;;14;5;1;0;0;0;1;0;
1000000297;70000144;700000175;2024;23;1;1;1;;00003346;00000003;00000016;;1;0;0;;0;;;;;;0;;;0;1;0;0;11000020;;25;5;1;0;0;0;1;0;
1000000298;70000020;700000176;2024;21;1;0;1;;00002302;00000002;00000006;00002598;1;0;0;;;;;;;;;;;0;1;0;0;11000002;;14;6;1;0;0;0;1;0;
1000000300;70000142;700000177;2024;15;2;2;1;;00003137;00000004;00000022;00000527;2;1;0;;;;;;0;;;0;;0;1;0;0;11000020;;27;5;1;0;0;0;1;0;
1000000303;70000042;700000178;2024;16;2;3;1;;00003106;00000004;00000025;00002000;1;0;0;;;;;0;0;;;;;0;1;0;;11000005;;;1;1;0;0;0;1;0;
